year,value,source,note
1990,662848350,Economic Commission for Latin America and the Caribbean,
1991,663371251,Economic Commission for Latin America and the Caribbean,
1992,712428604,Economic Commission for Latin America and the Caribbean,
1993,720248193,Economic Commission for Latin America and the Caribbean,
1994,733825411,Economic Commission for Latin America and the Caribbean,
1995,746272269,Economic Commission for Latin America and the Caribbean,
1996,769353471,Economic Commission for Latin America and the Caribbean,
1997,800395148,Economic Commission for Latin America and the Caribbean,
1998,851245453,Economic Commission for Latin America and the Caribbean,
1999,871322814,Economic Commission for Latin America and the Caribbean,
2000,869626809,Economic Commission for Latin America and the Caribbean,
2001,838809231,Economic Commission for Latin America and the Caribbean,
2002,836300652,Economic Commission for Latin America and the Caribbean,
2003,877298736,Economic Commission for Latin America and the Caribbean,
2004,940607631,Economic Commission for Latin America and the Caribbean,
2005,936512441,Economic Commission for Latin America and the Caribbean,
2006,1003686466,Economic Commission for Latin America and the Caribbean,
2007,1017436642,Economic Commission for Latin America and the Caribbean,
2008,1064934306,Economic Commission for Latin America and the Caribbean,
2009,1064112903,Economic Commission for Latin America and the Caribbean,
2010,1056257956,Economic Commission for Latin America and the Caribbean,
2011,1071284903,Economic Commission for Latin America and the Caribbean,
2012,1057478354,Economic Commission for Latin America and the Caribbean,
