year,value,source,note
1990,797234404,Economic Commission for Latin America and the Caribbean,
1991,845020442,Economic Commission for Latin America and the Caribbean,
1992,910576162,Economic Commission for Latin America and the Caribbean,
1993,985256855,Economic Commission for Latin America and the Caribbean,
1994,1073625006,Economic Commission for Latin America and the Caribbean,
1995,1122851829,Economic Commission for Latin America and the Caribbean,
1996,1211219980,Economic Commission for Latin America and the Caribbean,
1997,1287101327,Economic Commission for Latin America and the Caribbean,
1998,1270052037,Economic Commission for Latin America and the Caribbean,
1999,1302949962,Economic Commission for Latin America and the Caribbean,
2000,1293344729,Economic Commission for Latin America and the Caribbean,
2001,1314476243,Economic Commission for Latin America and the Caribbean,
2002,1329364355,Economic Commission for Latin America and the Caribbean,
2003,1320959776,Economic Commission for Latin America and the Caribbean,
2004,1341611028,Economic Commission for Latin America and the Caribbean,
2005,1315436766,Economic Commission for Latin America and the Caribbean,
2006,1382913534,Economic Commission for Latin America and the Caribbean,
2007,1479998398,Economic Commission for Latin America and the Caribbean,
2008,1509252743,Economic Commission for Latin America and the Caribbean,
2009,1559339170,Economic Commission for Latin America and the Caribbean,
2010,1627495848,Economic Commission for Latin America and the Caribbean,
2011,1715984849,Economic Commission for Latin America and the Caribbean,
2012,1798634555,Economic Commission for Latin America and the Caribbean,
