key,value
name,Dominica - Mining and quarrying [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Mining and quarrying [2216]
description,Sectoral GDP: Mining and quarrying
category,Economic
type,GDP
file,gdp-sec--mq_dma_cepalstat.csv
filehash,d9739b3745e7eb2490d70fdc113b9744df60af99
columns,"year,value,source,notes"
