year,value,source,note
1990,2711921,Economic Commission for Latin America and the Caribbean,
1991,2274514,Economic Commission for Latin America and the Caribbean,
1992,2554454,Economic Commission for Latin America and the Caribbean,
1993,2659432,Economic Commission for Latin America and the Caribbean,
1994,2851891,Economic Commission for Latin America and the Caribbean,
1995,3219312,Economic Commission for Latin America and the Caribbean,
1996,3123083,Economic Commission for Latin America and the Caribbean,
1997,3245557,Economic Commission for Latin America and the Caribbean,
1998,2939372,Economic Commission for Latin America and the Caribbean,
1999,3053098,Economic Commission for Latin America and the Caribbean,
2000,3236809,Economic Commission for Latin America and the Caribbean,
2001,2863155,Economic Commission for Latin America and the Caribbean,
2002,2522672,Economic Commission for Latin America and the Caribbean,
2003,3187621,Economic Commission for Latin America and the Caribbean,
2004,4024413,Economic Commission for Latin America and the Caribbean,
2005,3486499,Economic Commission for Latin America and the Caribbean,
2006,3879880,Economic Commission for Latin America and the Caribbean,
2007,4952116,Economic Commission for Latin America and the Caribbean,
2008,6201151,Economic Commission for Latin America and the Caribbean,
2009,3275879,Economic Commission for Latin America and the Caribbean,
2010,3112084,Economic Commission for Latin America and the Caribbean,
2011,3423293,Economic Commission for Latin America and the Caribbean,
2012,2909799,Economic Commission for Latin America and the Caribbean,
