year,value,source,note
1990,56158118,Economic Commission for Latin America and the Caribbean,
1991,64252901,Economic Commission for Latin America and the Caribbean,
1992,62995498,Economic Commission for Latin America and the Caribbean,
1993,63067033,Economic Commission for Latin America and the Caribbean,
1994,81617243,Economic Commission for Latin America and the Caribbean,
1995,106481841,Economic Commission for Latin America and the Caribbean,
1996,79966699,Economic Commission for Latin America and the Caribbean,
1997,84025369,Economic Commission for Latin America and the Caribbean,
1998,81027255,Economic Commission for Latin America and the Caribbean,
1999,62512307,Economic Commission for Latin America and the Caribbean,
2000,69899737,Economic Commission for Latin America and the Caribbean,
2001,73016651,Economic Commission for Latin America and the Caribbean,
2002,74269252,Economic Commission for Latin America and the Caribbean,
2003,83380311,Economic Commission for Latin America and the Caribbean,
2004,88685630,Economic Commission for Latin America and the Caribbean,
2005,84238999,Economic Commission for Latin America and the Caribbean,
2006,97104736,Economic Commission for Latin America and the Caribbean,
2007,85698978,Economic Commission for Latin America and the Caribbean,
2008,108171813,Economic Commission for Latin America and the Caribbean,
2009,104619302,Economic Commission for Latin America and the Caribbean,
2010,114279546,Economic Commission for Latin America and the Caribbean,
2011,90674994,Economic Commission for Latin America and the Caribbean,
2012,83055177,Economic Commission for Latin America and the Caribbean,
