key,value
name,Belize - Annual Gross Domestic Product (GDP) by activity: Mining and quarrying [CEPALStat]
dataset,CEPALStat national accounts [2216]
description,Annual national account statistics for Belize: Mining and quarrying
file,gdp-sec-mq_blz_cepalstat.csv
filehash,0936a143f354429bd7f1f7f7fd04cd99b55b2d98
category,Economy
type,GDP
columns,"year,value,source,notes"
