year,value,source,note
1990,1311000,Economic Commission for Latin America and the Caribbean,
1991,1478894,Economic Commission for Latin America and the Caribbean,
1992,1925420,Economic Commission for Latin America and the Caribbean,
1993,1782531,Economic Commission for Latin America and the Caribbean,
1994,1414594,Economic Commission for Latin America and the Caribbean,
1995,1792176,Economic Commission for Latin America and the Caribbean,
1996,1839687,Economic Commission for Latin America and the Caribbean,
1997,2046875,Economic Commission for Latin America and the Caribbean,
1998,2082597,Economic Commission for Latin America and the Caribbean,
1999,2400523,Economic Commission for Latin America and the Caribbean,
2000,2736311,Economic Commission for Latin America and the Caribbean,
2001,2818920,Economic Commission for Latin America and the Caribbean,
2002,2822597,Economic Commission for Latin America and the Caribbean,
2003,924780,Economic Commission for Latin America and the Caribbean,
2004,933398,Economic Commission for Latin America and the Caribbean,
2005,2104166,Economic Commission for Latin America and the Caribbean,
2006,9847781,Economic Commission for Latin America and the Caribbean,
2007,15770789,Economic Commission for Latin America and the Caribbean,
2008,12004338,Economic Commission for Latin America and the Caribbean,
2009,9909594,Economic Commission for Latin America and the Caribbean,
2010,10952261,Economic Commission for Latin America and the Caribbean,
2011,10528545,Economic Commission for Latin America and the Caribbean,
2012,18789626,Economic Commission for Latin America and the Caribbean,
