year,value,source,note
1990,2563401743,Economic Commission for Latin America and the Caribbean,
1991,2580740627,Economic Commission for Latin America and the Caribbean,
1992,2476941631,Economic Commission for Latin America and the Caribbean,
1993,2306305921,Economic Commission for Latin America and the Caribbean,
1994,2511267935,Economic Commission for Latin America and the Caribbean,
1995,2511267935,Economic Commission for Latin America and the Caribbean,
1996,2699165176,Economic Commission for Latin America and the Caribbean,
1997,2722277016,Economic Commission for Latin America and the Caribbean,
1998,2964774716,Economic Commission for Latin America and the Caribbean,
1999,3605926424,Economic Commission for Latin America and the Caribbean,
2000,4055370971,Economic Commission for Latin America and the Caribbean,
2001,4281872049,Economic Commission for Latin America and the Caribbean,
2002,4859440966,Economic Commission for Latin America and the Caribbean,
2003,6384090695,Economic Commission for Latin America and the Caribbean,
2004,6909279504,Economic Commission for Latin America and the Caribbean,
2005,7332004139,Economic Commission for Latin America and the Caribbean,
2006,9109168382,Economic Commission for Latin America and the Caribbean,
2007,9262271706,Economic Commission for Latin America and the Caribbean,
2008,9234719163,Economic Commission for Latin America and the Caribbean,
2009,9069202056,Economic Commission for Latin America and the Caribbean,
2010,9358579450,Economic Commission for Latin America and the Caribbean,
2011,8993432564,Economic Commission for Latin America and the Caribbean,
2012,8760421819,Economic Commission for Latin America and the Caribbean,
