year,value,source,note
1990,4473194,Economic Commission for Latin America and the Caribbean,
1991,4608051,Economic Commission for Latin America and the Caribbean,
1992,4399404,Economic Commission for Latin America and the Caribbean,
1993,4178034,Economic Commission for Latin America and the Caribbean,
1994,4345970,Economic Commission for Latin America and the Caribbean,
1995,4608051,Economic Commission for Latin America and the Caribbean,
1996,4890488,Economic Commission for Latin America and the Caribbean,
1997,5134758,Economic Commission for Latin America and the Caribbean,
1998,5544419,Economic Commission for Latin America and the Caribbean,
1999,5766196,Economic Commission for Latin America and the Caribbean,
2000,5997336,Economic Commission for Latin America and the Caribbean,
2001,6924247,Economic Commission for Latin America and the Caribbean,
2002,7321227,Economic Commission for Latin America and the Caribbean,
2003,11424411,Economic Commission for Latin America and the Caribbean,
2004,6465956,Economic Commission for Latin America and the Caribbean,
2005,7244031,Economic Commission for Latin America and the Caribbean,
2006,12787647,Economic Commission for Latin America and the Caribbean,
2007,14008673,Economic Commission for Latin America and the Caribbean,
2008,14049211,Economic Commission for Latin America and the Caribbean,
2009,10484611,Economic Commission for Latin America and the Caribbean,
2010,8539030,Economic Commission for Latin America and the Caribbean,
2011,6891347,Economic Commission for Latin America and the Caribbean,
2012,7322915,Economic Commission for Latin America and the Caribbean,
