year,value,source,note
1990,1103219,Economic Commission for Latin America and the Caribbean,
1991,1265303,Economic Commission for Latin America and the Caribbean,
1992,1291446,Economic Commission for Latin America and the Caribbean,
1993,1317588,Economic Commission for Latin America and the Caribbean,
1994,1301903,Economic Commission for Latin America and the Caribbean,
1995,1312360,Economic Commission for Latin America and the Caribbean,
1996,1391101,Economic Commission for Latin America and the Caribbean,
1997,1850898,Economic Commission for Latin America and the Caribbean,
1998,3121430,Economic Commission for Latin America and the Caribbean,
1999,3043002,Economic Commission for Latin America and the Caribbean,
2000,3419456,Economic Commission for Latin America and the Caribbean,
2001,2668820,Economic Commission for Latin America and the Caribbean,
2002,2264030,Economic Commission for Latin America and the Caribbean,
2003,3180130,Economic Commission for Latin America and the Caribbean,
2004,2691285,Economic Commission for Latin America and the Caribbean,
2005,2819893,Economic Commission for Latin America and the Caribbean,
2006,3970147,Economic Commission for Latin America and the Caribbean,
2007,3896674,Economic Commission for Latin America and the Caribbean,
2008,3801085,Economic Commission for Latin America and the Caribbean,
2009,3057353,Economic Commission for Latin America and the Caribbean,
2010,1706033,Economic Commission for Latin America and the Caribbean,
2011,1272741,Economic Commission for Latin America and the Caribbean,
2012,1092859,Economic Commission for Latin America and the Caribbean,
