year,value,source,note
1990,108395486,Economic Commission for Latin America and the Caribbean,
1991,101951780,Economic Commission for Latin America and the Caribbean,
1992,91829274,Economic Commission for Latin America and the Caribbean,
1993,75961715,Economic Commission for Latin America and the Caribbean,
1994,94524412,Economic Commission for Latin America and the Caribbean,
1995,103124824,Economic Commission for Latin America and the Caribbean,
1996,96572947,Economic Commission for Latin America and the Caribbean,
1997,105934406,Economic Commission for Latin America and the Caribbean,
1998,86421829,Economic Commission for Latin America and the Caribbean,
1999,96326894,Economic Commission for Latin America and the Caribbean,
2000,111799623,Economic Commission for Latin America and the Caribbean,
2001,96744612,Economic Commission for Latin America and the Caribbean,
2002,104200590,Economic Commission for Latin America and the Caribbean,
2003,113338885,Economic Commission for Latin America and the Caribbean,
2004,119902206,Economic Commission for Latin America and the Caribbean,
2005,119782041,Economic Commission for Latin America and the Caribbean,
2006,132965904,Economic Commission for Latin America and the Caribbean,
2007,131060424,Economic Commission for Latin America and the Caribbean,
2008,91365778,Economic Commission for Latin America and the Caribbean,
2009,43917602,Economic Commission for Latin America and the Caribbean,
2010,45205088,Economic Commission for Latin America and the Caribbean,
2011,81220383,Economic Commission for Latin America and the Caribbean,
2012,115307309,Economic Commission for Latin America and the Caribbean,
