Year,Item,Country,Value,Source,Notes,ISO3
1990,"Agriculture, hunting and forestry",Antigua and Barbuda,6.2940671460089,733,"6432,6495",ATG
1990,"Agriculture, hunting, forestry and fishing",Antigua and Barbuda,12.1652987128213,733,"6432,6495",ATG
1990,Construction,Antigua and Barbuda,50.5414613011615,733,"6432,6495",ATG
1990,"Electricity, gas and water supply",Antigua and Barbuda,15.6153136559784,733,"6432,6495",ATG
1990,Financial intermediation services indirectly measured (FISIM),Antigua and Barbuda,5.78176726603072,733,"6432,6495",ATG
1990,"Financial intermediation, real estate, renting and business activities",Antigua and Barbuda,77.5011664334155,733,"6495,6432",ATG
1990,Fishing,Antigua and Barbuda,5.77799649483391,733,"6432,6495",ATG
1990,Gross domestic product (GDP),Antigua and Barbuda,619.97135332743,733,"6432,6495",ATG
1990,Hotels and restaurants,Antigua and Barbuda,93.7419056337389,733,"6432,6495",ATG
1990,Manufacturing,Antigua and Barbuda,14.953208190105,733,"6432,6495",ATG
1990,Mining and quarrying,Antigua and Barbuda,4.47319405610715,733,"6432,6495",ATG
1990,Post and telecommunications,Antigua and Barbuda,25.3311455110708,733,"6432,6495",ATG
1990,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Antigua and Barbuda,97.0494590577907,733,"6495,6432",ATG
1990,Statistical discrepancy of GDP by economic activity,Antigua and Barbuda,14.0904,733,"6432,6495",ATG
1990,Taxes on products less subsidies on products,Antigua and Barbuda,76.9194507853177,733,"6432,6495",ATG
1990,Total value added,Antigua and Barbuda,528.961490093528,733,"6432,6495",ATG
1990,Transport and supporting and auxiliary activities,Antigua and Barbuda,49.3675333781052,733,"6432,6495",ATG
1990,"Transport, storage and communications",Antigua and Barbuda,74.7382425821617,733,"6432,6495",ATG
1990,"Wholesale and retail trade, and repair of goods",Antigua and Barbuda,91.7100200975867,733,"6432,6495",ATG
1990,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Antigua and Barbuda,187.705913370018,733,"6432,6495",ATG
1991,"Agriculture, hunting and forestry",Antigua and Barbuda,6.4842644330803,733,"6432,6495",ATG
1991,"Agriculture, hunting, forestry and fishing",Antigua and Barbuda,12.5824319127252,733,"6432,6495",ATG
1991,Construction,Antigua and Barbuda,54.7753533955057,733,"6432,6495",ATG
1991,"Electricity, gas and water supply",Antigua and Barbuda,16.217850077853,733,"6432,6495",ATG
1991,Financial intermediation services indirectly measured (FISIM),Antigua and Barbuda,6.36005760566712,733,"6432,6495",ATG
1991,"Financial intermediation, real estate, renting and business activities",Antigua and Barbuda,79.3981687270683,733,"6432,6495",ATG
1991,Fishing,Antigua and Barbuda,6.00809370038039,733,"6432,6495",ATG
1991,Gross domestic product (GDP),Antigua and Barbuda,633.283891491865,733,"6432,6495",ATG
1991,Hotels and restaurants,Antigua and Barbuda,93.6329287613444,733,"6432,6495",ATG
1991,Manufacturing,Antigua and Barbuda,14.1315489515888,733,"6432,6495",ATG
1991,Mining and quarrying,Antigua and Barbuda,4.60805144232654,733,"6432,6495",ATG
