Country,Year,Value,Source,Notes,ISO3
Anguilla,1990,24,51,1659,AIA
Dominica,1990,15,51,1659,DMA
Cuba,1990,25,51,1659,CUB
Netherlands Antilles,1990,5.3,51,1659,ANT
Grenada,1990,4.6,51,1659,GRD
Guyana,1990,89,51,1659,GUY
Haiti,1990,247,51,1659,HTI
Belize,1990,40,51,1659,BLZ
Trinidad and Tobago,1990,10,51,1659,TTO
Aruba,1990,6.4,51,1659,ABW
Cayman Islands,1990,12,51,1659,CYM
Barbados,1990,2.5,51,1659,BRB
Suriname,1990,63,51,1659,SUR
Antigua and Barbuda,1990,2.9,51,1659,ATG
British Virgin Islands,1990,17,51,1659,VGB
United States Virgin Islands,1990,4.5,51,1659,VIR
Jamaica,1990,6.5,51,1659,JAM
Saint Lucia,1990,15,51,1659,LCA
Montserrat,1990,6.3,51,1659,MSR
Bahamas,1990,21,51,1659,BHS
Saint Vincent and the Grenadines,1990,27,51,1659,VCT
Puerto Rico,1990,6.2,51,1659,PRI
Dominican Republic,1990,148,51,1659,DOM
Saint Kitts and Nevis,1990,0.2,51,1659,KNA
Netherlands Antilles,1991,5.2,51,1659,ANT
Haiti,1991,247,51,1659,HTI
Bahamas,1991,23,51,1659,BHS
Cayman Islands,1991,10,51,1659,CYM
Anguilla,1991,24,51,1659,AIA
Trinidad and Tobago,1991,12,51,1659,TTO
Suriname,1991,71,51,1659,SUR
Guyana,1991,89,51,1659,GUY
British Virgin Islands,1991,17,51,1659,VGB
Saint Lucia,1991,17,51,1659,LCA
United States Virgin Islands,1991,5.4,51,1659,VIR
Barbados,1991,2.3,51,1659,BRB
Grenada,1991,4.6,51,1659,GRD
Jamaica,1991,6.5,51,1659,JAM
Belize,1991,40,51,1659,BLZ
Aruba,1991,6.4,51,1659,ABW
Dominica,1991,15,51,1659,DMA
Montserrat,1991,5.8,51,1659,MSR
Saint Vincent and the Grenadines,1991,27,51,1659,VCT
Puerto Rico,1991,7,51,1659,PRI
Saint Kitts and Nevis,1991,4.7,51,1659,KNA
Cuba,1991,23,51,1659,CUB
Dominican Republic,1991,142,51,1659,DOM
Antigua and Barbuda,1991,3.6,51,1659,ATG
Antigua and Barbuda,1992,4.1,51,1659,ATG
Cuba,1992,22,51,1659,CUB
Saint Kitts and Nevis,1992,8.3,51,1659,KNA
Belize,1992,40,51,1659,BLZ
Montserrat,1992,5.7,51,1659,MSR
Aruba,1992,6.4,51,1659,ABW
Dominica,1992,15,51,1659,DMA
Jamaica,1992,6.5,51,1659,JAM
Barbados,1992,2.1,51,1659,BRB
Saint Vincent and the Grenadines,1992,27,51,1659,VCT
Grenada,1992,4.6,51,1659,GRD
British Virgin Islands,1992,18,51,1659,VGB
Saint Lucia,1992,18,51,1659,LCA
Turks and Caicos Islands,1992,11,51,1659,TCA
Bahamas,1992,25,51,1659,BHS
Suriname,1992,78,51,1659,SUR
Puerto Rico,1992,7.5,51,1659,PRI
Cayman Islands,1992,9,51,1659,CYM
Trinidad and Tobago,1992,13,51,1659,TTO
United States Virgin Islands,1992,6.2,51,1659,VIR
Anguilla,1992,24,51,1659,AIA
Haiti,1992,247,51,1659,HTI
Dominican Republic,1992,137,51,1659,DOM
Guyana,1992,89,51,1659,GUY
Netherlands Antilles,1992,5.2,51,1659,ANT
Grenada,1993,4.6,51,1659,GRD
British Virgin Islands,1993,18,51,1659,VGB
Montserrat,1993,6.4,51,1659,MSR
Saint Lucia,1993,18,51,1659,LCA
Guyana,1993,89,51,1659,GUY
Belize,1993,40,51,1659,BLZ
Netherlands Antilles,1993,5.1,51,1659,ANT
Haiti,1993,247,51,1659,HTI
Saint Vincent and the Grenadines,1993,27,51,1659,VCT
Dominica,1993,14,51,1659,DMA
Aruba,1993,6.4,51,1659,ABW
Puerto Rico,1993,7.9,51,1659,PRI
Cuba,1993,21,51,1659,CUB
Dominican Republic,1993,131,51,1659,DOM
Anguilla,1993,24,51,1659,AIA
Suriname,1993,84,51,1659,SUR
Jamaica,1993,6.5,51,1659,JAM
Bahamas,1993,27,51,1659,BHS
Turks and Caicos Islands,1993,25,51,1659,TCA
Antigua and Barbuda,1993,4.6,51,1659,ATG
Saint Kitts and Nevis,1993,11,51,1659,KNA
Trinidad and Tobago,1993,14,51,1659,TTO
Barbados,1993,1.9,51,1659,BRB
Cayman Islands,1993,7.8,51,1659,CYM
United States Virgin Islands,1993,6.8,51,1659,VIR
Dominican Republic,1994,126,51,1659,DOM
Trinidad and Tobago,1994,15,51,1659,TTO
Bahamas,1994,29,51,1659,BHS
Antigua and Barbuda,1994,4.9,51,1659,ATG
Turks and Caicos Islands,1994,39,51,1659,TCA
Barbados,1994,1.8,51,1659,BRB
Cayman Islands,1994,7,51,1659,CYM
Suriname,1994,88,51,1659,SUR
Jamaica,1994,6.5,51,1659,JAM
Cuba,1994,20,51,1659,CUB
Puerto Rico,1994,8,51,1659,PRI
Saint Kitts and Nevis,1994,13,51,1659,KNA
Aruba,1994,6.4,51,1659,ABW
Guyana,1994,89,51,1659,GUY
Saint Vincent and the Grenadines,1994,27,51,1659,VCT
Netherlands Antilles,1994,5.1,51,1659,ANT
Belize,1994,40,51,1659,BLZ
Grenada,1994,4.5,51,1659,GRD
Montserrat,1994,7.5,51,1659,MSR
Saint Lucia,1994,19,51,1659,LCA
Anguilla,1994,23,51,1659,AIA
Dominica,1994,14,51,1659,DMA
British Virgin Islands,1994,18,51,1659,VGB
United States Virgin Islands,1994,7.3,51,1659,VIR
Haiti,1994,247,51,1659,HTI
Haiti,1995,247,51,1659,HTI
Aruba,1995,6.4,51,1659,ABW
Netherlands Antilles,1995,4.9,51,1659,ANT
Puerto Rico,1995,7.9,51,1659,PRI
Cuba,1995,19,51,1659,CUB
Suriname,1995,92,51,1659,SUR
United States Virgin Islands,1995,7.7,51,1659,VIR
Saint Lucia,1995,18,51,1659,LCA
Belize,1995,40,51,1659,BLZ
Saint Vincent and the Grenadines,1995,27,51,1659,VCT
Guyana,1995,89,51,1659,GUY
Antigua and Barbuda,1995,5.1,51,1659,ATG
Cayman Islands,1995,6.2,51,1659,CYM
Jamaica,1995,6.5,51,1659,JAM
British Virgin Islands,1995,17,51,1659,VGB
Montserrat,1995,8.5,51,1659,MSR
Trinidad and Tobago,1995,16,51,1659,TTO
Dominica,1995,14,51,1659,DMA
Barbados,1995,1.7,51,1659,BRB
Dominican Republic,1995,121,51,1659,DOM
Bahamas,1995,29,51,1659,BHS
Saint Kitts and Nevis,1995,14,51,1659,KNA
Grenada,1995,4.5,51,1659,GRD
Turks and Caicos Islands,1995,50,51,1659,TCA
Anguilla,1995,23,51,1659,AIA
Grenada,1996,4.5,51,1659,GRD
Netherlands Antilles,1996,4.7,51,1659,ANT
Saint Vincent and the Grenadines,1996,26,51,1659,VCT
Jamaica,1996,6.5,51,1659,JAM
Saint Lucia,1996,17,51,1659,LCA
Saint Kitts and Nevis,1996,14,51,1659,KNA
Barbados,1996,1.6,51,1659,BRB
Antigua and Barbuda,1996,5,51,1659,ATG
Dominican Republic,1996,117,51,1659,DOM
Dominica,1996,14,51,1659,DMA
Trinidad and Tobago,1996,17,51,1659,TTO
Montserrat,1996,10,51,1659,MSR
British Virgin Islands,1996,16,51,1659,VGB
Cayman Islands,1996,5.8,51,1659,CYM
United States Virgin Islands,1996,7.8,51,1659,VIR
Guyana,1996,89,51,1659,GUY
Puerto Rico,1996,7.6,51,1659,PRI
Suriname,1996,94,51,1659,SUR
Cuba,1996,18,51,1659,CUB
Belize,1996,40,51,1659,BLZ
Anguilla,1996,23,51,1659,AIA
Aruba,1996,6.4,51,1659,ABW
Turks and Caicos Islands,1996,61,51,1659,TCA
Haiti,1996,247,51,1659,HTI
Bahamas,1996,30,51,1659,BHS
Cuba,1997,16,51,1659,CUB
Netherlands Antilles,1997,4.6,51,1659,ANT
British Virgin Islands,1997,14,51,1659,VGB
Saint Lucia,1997,16,51,1659,LCA
Jamaica,1997,6.5,51,1659,JAM
Dominican Republic,1997,112,51,1659,DOM
Dominica,1997,14,51,1659,DMA
Saint Vincent and the Grenadines,1997,26,51,1659,VCT
Anguilla,1997,23,51,1659,AIA
Barbados,1997,1.5,51,1659,BRB
Turks and Caicos Islands,1997,71,51,1659,TCA
Bahamas,1997,30,51,1659,BHS
Grenada,1997,4.4,51,1659,GRD
Trinidad and Tobago,1997,18,51,1659,TTO
Antigua and Barbuda,1997,4.8,51,1659,ATG
Saint Kitts and Nevis,1997,13,51,1659,KNA
