Country,Year,Value,Source,Notes,ISO3
Puerto Rico,1992,314,,,PRI
Trinidad and Tobago,1992,274,,,TTO
Suriname,1992,308,,,SUR
Jamaica,1992,177,,,JAM
Belize,1992,305,,,BLZ
Dominican Republic,1992,145,,,DOM
Bermudas,1992,459,,,BMU
Saint Lucia,1992,204,,,LCA
Dominica,1992,323,,,DMA
Aruba,1992,272,,,ABW
Guyana,1992,194,,,GUY
Saint Vincent and the Grenadines,1992,300,,,VCT
Barbados,1993,239,,,BRB
Bermudas,1994,371,,,BMU
Haiti,1995,21,,,HTI
Cayman Islands,1995,546,,,CYM
Saint Lucia,1995,254,,,LCA
Antigua and Barbuda,1995,328,,,ATG
Guyana,1995,210,,,GUY
Saint Vincent and the Grenadines,1995,331,,,VCT
Dominican Republic,1995,160,,,DOM
Belize,1995,286,,,BLZ
United States Virgin Islands,1995,438,,,VIR
Jamaica,1995,170,,,JAM
Saint Kitts and Nevis,1995,281,,,KNA
Suriname,1995,302,,,SUR
Puerto Rico,1995,310,,,PRI
Aruba,1995,220,,,ABW
Dominica,1995,304,,,DMA
Trinidad and Tobago,1995,316,,,TTO
Cuba,1997,297,,,CUB
Dominica,1997,337,,,DMA
Jamaica,1998,160,,,JAM
Cayman Islands,1998,682,,,CYM
Dominican Republic,1998,165,,,DOM
Bahamas,1998,478,,,BHS
Suriname,1998,382,,,SUR
Antigua and Barbuda,1998,256,,,ATG
Aruba,1998,224,,,ABW
Barbados,1998,404,,,BRB
Guyana,1998,232,,,GUY
United States Virgin Islands,1998,412,,,VIR
Guadalupe,1998,159,,,GLP
Grenada,1998,352,,,GRD
Saint Vincent and the Grenadines,1998,397,,,VCT
Haiti,1998,45,,,HTI
Belize,1998,436,,,BLZ
Puerto Rico,1998,388,,,PRI
Trinidad and Tobago,1998,369,,,TTO
Saint Lucia,1998,208,,,LCA
Saint Kitts and Nevis,1999,293,,,KNA
Bermudas,1999,455,,,BMU
British Virgin Islands,1999,215,,,VGB
Trinidad and Tobago,2001,370,,,TTO
Saint Vincent and the Grenadines,2001,280,,,VCT
Barbados,2001,312,,,BRB
Dominican Republic,2001,177,,,DOM
Puerto Rico,2001,377,,,PRI
United States Virgin Islands,2001,452,,,VIR
Haiti,2001,41,,,HTI
Guyana,2001,205,,,GUY
Saint Lucia,2001,291,,,LCA
Cayman Islands,2001,539,,,CYM
Belize,2001,350,,,BLZ
Dominica,2001,312,,,DMA
Guadalupe,2001,146,,,GLP
Grenada,2002,333,,,GRD
Bahamas,2002,410,,,BHS
Antigua and Barbuda,2002,192,,,ATG
Bermudas,2003,512,,,BMU
Saint Kitts and Nevis,2003,406,,,KNA
Cuba,2003,487,,,CUB
Jamaica,2003,179,,,JAM
United States Virgin Islands,2004,524,,,VIR
Saint Vincent and the Grenadines,2004,337,,,VCT
Puerto Rico,2004,369,,,PRI
Guadalupe,2004,173,,,GLP
Belize,2004,416,,,BLZ
Cayman Islands,2004,425,,,CYM
Saint Lucia,2004,296,,,LCA
Dominican Republic,2004,150,,,DOM
Guyana,2004,172,,,GUY
