Year,Item,Country,Value,Source,Notes,ISO3
1993,Gross domestic product (GDP),Barbados,3003.60049495342,733,"6432,6495",BRB
1993,Hotels and restaurants,Barbados,447.138070866142,733,"6432,6495",BRB
1993,Manufacturing,Barbados,332.817642405063,733,"6432,6495",BRB
1993,Mining and quarrying,Barbados,4.263,733,"6432,6495",BRB
1993,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,406.436487807122,733,"6432,6495",BRB
1993,Statistical discrepancy of GDP by economic activity,Barbados,343.8761,733,"6432,6495",BRB
1993,Total value added,Barbados,2659.72442456526,733,"6432,6495",BRB
1993,"Transport, storage and communications",Barbados,255.115384615385,733,"6432,6495",BRB
1993,"Wholesale and retail trade, and repair of goods",Barbados,266.193608151922,733,"6432,6495",BRB
1993,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,676.717774861476,733,"6495,6432",BRB
1994,"Agriculture, hunting, forestry and fishing",Barbados,63.3275929549902,733,"6432,6495",BRB
1994,Construction,Barbados,92.0990936555891,733,"6432,6495",BRB
1994,"Electricity, gas and water supply",Barbados,60.7858611825193,733,"6495,6432",BRB
1994,"Financial intermediation, real estate, renting and business activities",Barbados,795.397706046398,733,"6432,6495",BRB
1994,Gross domestic product (GDP),Barbados,3117.27882375776,733,"6495,6432",BRB
1994,Hotels and restaurants,Barbados,489.235039370079,733,"6432,6495",BRB
1994,Manufacturing,Barbados,328.153955696203,733,"6432,6495",BRB
1994,Mining and quarrying,Barbados,4.263,733,"6432,6495",BRB
1994,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,413.605187981527,733,"6432,6495",BRB
1994,Statistical discrepancy of GDP by economic activity,Barbados,368.6621,733,"6432,6495",BRB
1994,Total value added,Barbados,2748.61667640544,733,"6432,6495",BRB
1994,"Transport, storage and communications",Barbados,263.619230769231,733,"6432,6495",BRB
1994,"Wholesale and retail trade, and repair of goods",Barbados,282.130199166281,733,"6432,6495",BRB
1994,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,727.365048118985,733,"6432,6495",BRB
1995,"Agriculture, hunting, forestry and fishing",Barbados,63.0904109589041,733,"6432,6495",BRB
1995,Construction,Barbados,101.053172205438,733,"6432,6495",BRB
1995,"Electricity, gas and water supply",Barbados,64.23470437018,733,"6432,6495",BRB
1995,"Financial intermediation, real estate, renting and business activities",Barbados,797.574258592921,733,"6432,6495",BRB
1995,Gross domestic product (GDP),Barbados,3180.34952445652,733,"6432,6495",BRB
1995,Hotels and restaurants,Barbados,494.16531496063,733,"6432,6495",BRB
1995,Manufacturing,Barbados,345.112816455696,733,"6432,6495",BRB
1995,Mining and quarrying,Barbados,4.1895,733,"6432,6495",BRB
1995,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,430.748184799595,733,"6432,6495",BRB
1995,Statistical discrepancy of GDP by economic activity,Barbados,373.3017,733,"6432,6495",BRB
1995,Total value added,Barbados,2807.04779747807,733,"6432,6495",BRB
1995,"Transport, storage and communications",Barbados,269.417307692308,733,"6432,6495",BRB
1995,"Wholesale and retail trade, and repair of goods",Barbados,282.830708661417,733,"6432,6495",BRB
1995,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,731.627442403033,733,"6432,6495",BRB
1996,"Agriculture, hunting, forestry and fishing",Barbados,74.2379647749511,733,"6432,6495",BRB
1996,Construction,Barbados,105.103826787513,733,"6432,6495",BRB
1996,"Electricity, gas and water supply",Barbados,67.4679948586118,733,"6432,6495",BRB
1996,"Financial intermediation, real estate, renting and business activities",Barbados,804.701194437517,733,"6432,6495",BRB
1996,Gross domestic product (GDP),Barbados,3306.49092585404,733,"6432,6495",BRB
1996,Hotels and restaurants,Barbados,502.508858267717,733,"6432,6495",BRB
1996,Manufacturing,Barbados,367.159335443038,733,"6432,6495",BRB
1996,Mining and quarrying,Barbados,4.557,733,"6432,6495",BRB
