Year,Value,Source,Notes,ISO3,Country
1986,17.2,36,153,TTO,Trinidad and Tobago
1986,19,36,153,BRB,Barbados
1986,23.7,36,153,JAM,Jamaica
1987,18.9,36,153,BRB,Barbados
1987,22.3,36,153,TTO,Trinidad and Tobago
1987,21,36,153,JAM,Jamaica
1988,21.9,36,153,TTO,Trinidad and Tobago
1988,18.9,36,153,JAM,Jamaica
1988,17.3,36,153,BRB,Barbados
1989,18,36,153,JAM,Jamaica
1989,22,36,153,TTO,Trinidad and Tobago
1989,13.7,36,153,BRB,Barbados
1990,14.7,36,153,BRB,Barbados
1990,20.1,36,153,TTO,Trinidad and Tobago
1990,5.4,36,156,CUB,Cuba
1990,15.8,36,156,SUR,Suriname
1990,15.3,36,153,JAM,Jamaica
1991,15.4,36,153,JAM,Jamaica
1991,17.3,36,153,BRB,Barbados
1991,18.5,36,153,TTO,Trinidad and Tobago
1991,5.1,36,156,CUB,Cuba
1991,12.3,36,153,BHS,Bahamas
1991,19.6,36,156,DOM,Dominican Republic
1992,4.6,36,156,CUB,Cuba
1992,20.3,36,156,DOM,Dominican Republic
1992,17.2,36,156,SUR,Suriname
1992,23,36,153,BRB,Barbados
1992,15.7,36,153,JAM,Jamaica
1992,11.9,36,153,BLZ,Belize
1992,14.8,36,153,BHS,Bahamas
1992,19.6,36,153,TTO,Trinidad and Tobago
1993,9.8,36,153,BLZ,Belize
1993,19.9,36,156,DOM,Dominican Republic
1993,16.3,36,153,JAM,Jamaica
1993,13.1,36,153,BHS,Bahamas
1993,14.7,36,156,SUR,Suriname
1993,4.4,36,156,CUB,Cuba
1993,24.3,36,153,BRB,Barbados
1993,19.7,36,153,TTO,Trinidad and Tobago
1994,9,36,153,BLZ,Belize
1994,6.5,36,156,CUB,Cuba
1994,21.9,36,153,BRB,Barbados
1994,16,36,156,DOM,Dominican Republic
1994,12.7,36,156,SUR,Suriname
1994,13.3,36,153,BHS,Bahamas
1994,15.4,36,153,JAM,Jamaica
1994,18.4,36,153,TTO,Trinidad and Tobago
1995,17.2,36,153,TTO,Trinidad and Tobago
1995,19.7,36,153,BRB,Barbados
1995,11.1,36,153,BHS,Bahamas
1995,8.4,36,156,SUR,Suriname
1995,15.8,36,156,DOM,Dominican Republic
1995,8.3,36,156,CUB,Cuba
1995,16.2,36,153,JAM,Jamaica
1995,12.5,36,153,BLZ,Belize
1996,15.6,36,153,BRB,Barbados
1996,10.9,36,156,SUR,Suriname
1996,7.6,36,156,CUB,Cuba
1996,16.7,36,156,DOM,Dominican Republic
1996,13.8,36,153,BLZ,Belize
1996,11.5,36,153,BHS,Bahamas
1996,16.2,36,153,TTO,Trinidad and Tobago
1996,16,36,153,JAM,Jamaica
1997,16,36,156,DOM,Dominican Republic
1997,10.5,36,156,SUR,Suriname
1997,12.7,36,153,BLZ,Belize
1997,16.5,36,153,JAM,Jamaica
1997,14.5,36,153,BRB,Barbados
1997,7.1,36,156,CUB,Cuba
1997,15,36,153,TTO,Trinidad and Tobago
1997,9.8,36,153,BHS,Bahamas
1998,14.4,36,156,DOM,Dominican Republic
1998,10.6,36,156,SUR,Suriname
1998,14.3,36,153,BLZ,Belize
1998,15.5,36,153,JAM,Jamaica
1998,12.3,36,153,BRB,Barbados
1998,7.8,36,153,BHS,Bahamas
1998,14.2,36,153,TTO,Trinidad and Tobago
1998,6.2,36,156,CUB,Cuba
1999,7.8,36,153,BHS,Bahamas
1999,6.3,36,156,CUB,Cuba
1999,13.8,36,156,DOM,Dominican Republic
1999,15.7,36,153,JAM,Jamaica
1999,14,36,156,SUR,Suriname
