Year,Value,Source,Notes,ISO3,Country
1990,0.1,51,1659,ATG,Antigua and Barbuda
1990,0.2,51,1659,VIR,United States Virgin Islands
1990,1.1,51,1659,JAM,Jamaica
1990,31,51,1659,HTI,Haiti
1990,0,51,1659,MSR,Montserrat
1990,0.6,51,1659,BHS,Bahamas
1990,0.1,51,1659,TCA,Turks and Caicos Islands
1990,9.2,51,1659,GUY,Guyana
1990,1.2,51,1659,CYM,Cayman Islands
1990,1.8,51,1659,PRI,Puerto Rico
1990,0.1,51,1659,BRB,Barbados
1990,14,51,1659,DOM,Dominican Republic
1990,2.3,51,1659,TTO,Trinidad and Tobago
1990,0.3,51,1659,GRD,Grenada
1990,3.5,51,1659,SUR,Suriname
1990,4.1,51,1659,BLZ,Belize
1990,0.1,51,1659,KNA,Saint Kitts and Nevis
1990,0.7,51,1659,ABW,Aruba
1990,6.7,51,1659,DMA,Dominica
1990,3.7,51,1659,LCA,Saint Lucia
1990,0.6,51,1659,CUB,Cuba
1990,1.2,51,1659,VCT,Saint Vincent and the Grenadines
1990,0.3,51,1659,VGB,British Virgin Islands
1991,0,51,1659,TCA,Turks and Caicos Islands
1991,0,51,1659,VGB,British Virgin Islands
1991,0.5,51,1659,CYM,Cayman Islands
1991,0.7,51,1659,ABW,Aruba
1991,3.5,51,1659,SUR,Suriname
1991,0.2,51,1659,BRB,Barbados
1991,0.3,51,1659,VIR,United States Virgin Islands
1991,33,51,1659,HTI,Haiti
1991,9.2,51,1659,GUY,Guyana
1991,4.4,51,1659,LCA,Saint Lucia
1991,1.1,51,1659,JAM,Jamaica
1991,0.2,51,1659,GRD,Grenada
1991,5.7,51,1659,DMA,Dominica
1991,0.2,51,1659,MSR,Montserrat
1991,1.7,51,1659,VCT,Saint Vincent and the Grenadines
1991,1,51,1659,ATG,Antigua and Barbuda
1991,1.9,51,1659,PRI,Puerto Rico
1991,0.7,51,1659,CUB,Cuba
1991,0.6,51,1659,BHS,Bahamas
1991,0.1,51,1659,KNA,Saint Kitts and Nevis
1991,4.4,51,1659,BLZ,Belize
1991,13,51,1659,DOM,Dominican Republic
1991,2.3,51,1659,TTO,Trinidad and Tobago
1992,13,51,1659,DOM,Dominican Republic
1992,0.4,51,1659,BRB,Barbados
1992,4.7,51,1659,BLZ,Belize
1992,6.2,51,1659,BHS,Bahamas
1992,0.8,51,1659,CUB,Cuba
1992,0.5,51,1659,KNA,Saint Kitts and Nevis
1992,1.9,51,1659,PRI,Puerto Rico
1992,0.7,51,1659,ATG,Antigua and Barbuda
1992,5,51,1659,DMA,Dominica
1992,0.1,51,1659,GRD,Grenada
1992,9.5,51,1659,GUY,Guyana
1992,1,51,1659,MSR,Montserrat
1992,2.1,51,1659,VCT,Saint Vincent and the Grenadines
1992,35,51,1659,HTI,Haiti
1992,0.7,51,1659,ABW,Aruba
1992,0.2,51,1659,CYM,Cayman Islands
1992,1,51,1659,JAM,Jamaica
1992,2.4,51,1659,TTO,Trinidad and Tobago
1992,0,51,1659,TCA,Turks and Caicos Islands
1992,0.1,51,1659,VGB,British Virgin Islands
1992,4.8,51,1659,LCA,Saint Lucia
1992,0.3,51,1659,VIR,United States Virgin Islands
1992,3.5,51,1659,SUR,Suriname
1993,1.2,51,1659,KNA,Saint Kitts and Nevis
1993,0.6,51,1659,VGB,British Virgin Islands
1993,5,51,1659,LCA,Saint Lucia
1993,0.3,51,1659,VIR,United States Virgin Islands
1993,3.5,51,1659,SUR,Suriname
1993,0.6,51,1659,ATG,Antigua and Barbuda
1993,0,51,1659,TCA,Turks and Caicos Islands
1993,4.3,51,1659,DMA,Dominica
1993,5,51,1659,BLZ,Belize
1993,1.9,51,1659,PRI,Puerto Rico
1993,2.3,51,1659,MSR,Montserrat
1993,0,51,1659,CYM,Cayman Islands
1993,2.5,51,1659,TTO,Trinidad and Tobago
1993,2.4,51,1659,VCT,Saint Vincent and the Grenadines
1993,5.5,51,1659,BHS,Bahamas
1993,0.6,51,1659,BRB,Barbados
1993,37,51,1659,HTI,Haiti
1993,1,51,1659,JAM,Jamaica
1993,0,51,1659,GRD,Grenada
1993,0.7,51,1659,ABW,Aruba
1993,12,51,1659,DOM,Dominican Republic
1993,10,51,1659,GUY,Guyana
1993,0.8,51,1659,CUB,Cuba
1994,1.9,51,1659,KNA,Saint Kitts and Nevis
1994,11,51,1659,GUY,Guyana
1994,0,51,1659,GRD,Grenada
1994,1,51,1659,JAM,Jamaica
1994,38,51,1659,HTI,Haiti
1994,4.9,51,1659,BHS,Bahamas
1994,2.5,51,1659,TTO,Trinidad and Tobago
1994,0.8,51,1659,BRB,Barbados
1994,0,51,1659,CYM,Cayman Islands
1994,1.8,51,1659,PRI,Puerto Rico
1994,3.9,51,1659,DMA,Dominica
1994,1.3,51,1659,VGB,British Virgin Islands
1994,2.6,51,1659,VCT,Saint Vincent and the Grenadines
1994,3.4,51,1659,VIR,United States Virgin Islands
1994,5.3,51,1659,BLZ,Belize
1994,3.3,51,1659,SUR,Suriname
1994,0.4,51,1659,MSR,Montserrat
1994,0.5,51,1659,ATG,Antigua and Barbuda
1994,0.2,51,1659,TCA,Turks and Caicos Islands
1994,12,51,1659,DOM,Dominican Republic
1994,0.7,51,1659,ABW,Aruba
1994,4.9,51,1659,LCA,Saint Lucia
1994,0.8,51,1659,CUB,Cuba
1995,1.7,51,1659,PRI,Puerto Rico
1995,0.6,51,1659,TCA,Turks and Caicos Islands
1995,5.6,51,1659,BLZ,Belize
1995,39,51,1659,HTI,Haiti
1995,0.1,51,1659,BRB,Barbados
1995,4.6,51,1659,LCA,Saint Lucia
1995,11,51,1659,DOM,Dominican Republic
1995,0,51,1659,CYM,Cayman Islands
1995,0.4,51,1659,MSR,Montserrat
1995,0.8,51,1659,CUB,Cuba
1995,2.7,51,1659,VCT,Saint Vincent and the Grenadines
1995,12,51,1659,GUY,Guyana
1995,2.2,51,1659,VGB,British Virgin Islands
1995,3.2,51,1659,SUR,Suriname
1995,2.6,51,1659,KNA,Saint Kitts and Nevis
1995,2.6,51,1659,TTO,Trinidad and Tobago
1995,3.5,51,1659,DMA,Dominica
1995,3,51,1659,VIR,United States Virgin Islands
1995,0.9,51,1659,JAM,Jamaica
1995,0,51,1659,GRD,Grenada
1995,0.6,51,1659,ATG,Antigua and Barbuda
1995,0.7,51,1659,ABW,Aruba
1995,4.3,51,1659,BHS,Bahamas
1996,3.1,51,1659,KNA,Saint Kitts and Nevis
1996,0,51,1659,GRD,Grenada
1996,11,51,1659,DOM,Dominican Republic
1996,2.5,51,1659,VCT,Saint Vincent and the Grenadines
1996,1.5,51,1659,PRI,Puerto Rico
1996,3.1,51,1659,DMA,Dominica
1996,1.3,51,1659,TCA,Turks and Caicos Islands
1996,3.9,51,1659,LCA,Saint Lucia
1996,13,51,1659,GUY,Guyana
1996,0.7,51,1659,ABW,Aruba
1996,2.9,51,1659,SUR,Suriname
1996,0.8,51,1659,CUB,Cuba
1996,0.9,51,1659,JAM,Jamaica
1996,0.7,51,1659,ATG,Antigua and Barbuda
1996,5.9,51,1659,BLZ,Belize
1996,39,51,1659,HTI,Haiti
1996,2.7,51,1659,VIR,United States Virgin Islands
1996,0.5,51,1659,MSR,Montserrat
1996,3.3,51,1659,VGB,British Virgin Islands
1996,3.8,51,1659,BHS,Bahamas
1996,2.7,51,1659,TTO,Trinidad and Tobago
1996,0.1,51,1659,BRB,Barbados
1996,0,51,1659,CYM,Cayman Islands
1997,0,51,1659,CYM,Cayman Islands
1997,3.2,51,1659,KNA,Saint Kitts and Nevis
1997,10,51,1659,DOM,Dominican Republic
1997,3.2,51,1659,BHS,Bahamas
1997,0,51,1659,GRD,Grenada
1997,2.8,51,1659,TTO,Trinidad and Tobago
1997,2.7,51,1659,TCA,Turks and Caicos Islands
1997,0.1,51,1659,BRB,Barbados
1997,2.2,51,1659,VCT,Saint Vincent and the Grenadines
1997,4.6,51,1659,VGB,British Virgin Islands
1997,1.3,51,1659,PRI,Puerto Rico
1997,2.9,51,1659,DMA,Dominica
1997,0.7,51,1659,CUB,Cuba
1997,2.6,51,1659,SUR,Suriname
1997,1,51,1659,ATG,Antigua and Barbuda
1997,39,51,1659,HTI,Haiti
1997,2.5,51,1659,VIR,United States Virgin Islands
1997,6.4,51,1659,BLZ,Belize
1997,2.9,51,1659,LCA,Saint Lucia
1997,0.8,51,1659,JAM,Jamaica
1997,0.6,51,1659,MSR,Montserrat
1997,0.7,51,1659,ABW,Aruba
1997,15,51,1659,GUY,Guyana
1998,2.2,51,1659,LCA,Saint Lucia
1998,17,51,1659,GUY,Guyana
1998,0.7,51,1659,JAM,Jamaica
1998,0.7,51,1659,MSR,Montserrat
1998,6.6,51,1659,BLZ,Belize
1998,2.3,51,1659,SUR,Suriname
1998,0.7,51,1659,ABW,Aruba
1998,0.6,51,1659,CUB,Cuba
1998,40,51,1659,HTI,Haiti
1998,5.6,51,1659,VGB,British Virgin Islands
1998,1.1,51,1659,PRI,Puerto Rico
1998,2,51,1659,VCT,Saint Vincent and the Grenadines
1998,0.1,51,1659,BRB,Barbados
1998,0,51,1659,GRD,Grenada
1998,0,51,1659,CYM,Cayman Islands
1998,2.8,51,1659,TTO,Trinidad and Tobago
1998,2.8,51,1659,BHS,Bahamas
1998,10,51,1659,DOM,Dominican Republic
1998,2.2,51,1659,VIR,United States Virgin Islands
1998,3.2,51,1659,KNA,Saint Kitts and Nevis
1998,4.2,51,1659,TCA,Turks and Caicos Islands
1998,1.2,51,1659,ATG,Antigua and Barbuda
1998,2.7,51,1659,DMA,Dominica
1999,5.5,51,1659,TCA,Turks and Caicos Islands
1999,1.4,51,1659,ATG,Antigua and Barbuda
1999,3,51,1659,KNA,Saint Kitts and Nevis
1999,18,51,1659,GUY,Guyana
1999,0.6,51,1659,BRB,Barbados
1999,9.5,51,1659,DOM,Dominican Republic
1999,0,51,1659,GRD,Grenada
1999,0,51,1659,CYM,Cayman Islands
1999,0.9,51,1659,PRI,Puerto Rico
1999,1.9,51,1659,VCT,Saint Vincent and the Grenadines
1999,2.7,51,1659,DMA,Dominica
1999,0.6,51,1659,CUB,Cuba
1999,41,51,1659,HTI,Haiti
1999,0.7,51,1659,ABW,Aruba
1999,0.7,51,1659,MSR,Montserrat
1999,2.6,51,1659,TTO,Trinidad and Tobago
1999,1.6,51,1659,LCA,Saint Lucia
1999,2,51,1659,VIR,United States Virgin Islands
1999,2.4,51,1659,BHS,Bahamas
1999,0.5,51,1659,VGB,British Virgin Islands
1999,0.7,51,1659,JAM,Jamaica
1999,2.1,51,1659,SUR,Suriname
1999,6.7,51,1659,BLZ,Belize
2000,2,51,1659,BHS,Bahamas
2000,0.4,51,1659,VGB,British Virgin Islands
2000,6.6,51,1659,BLZ,Belize
2000,41,51,1659,HTI,Haiti
2000,1.2,51,1659,LCA,Saint Lucia
2000,1.8,51,1659,VIR,United States Virgin Islands
2000,1.8,51,1659,SUR,Suriname
2000,0.7,51,1659,ABW,Aruba
2000,0.6,51,1659,JAM,Jamaica
2000,0.7,51,1659,PRI,Puerto Rico
2000,20,51,1659,GUY,Guyana
2000,0,51,1659,GRD,Grenada
2000,9.2,51,1659,DOM,Dominican Republic
2000,1.9,51,1659,VCT,Saint Vincent and the Grenadines
2000,0.5,51,1659,CUB,Cuba
2000,2.2,51,1659,TTO,Trinidad and Tobago
2000,2.7,51,1659,KNA,Saint Kitts and Nevis
2000,0.6,51,1659,MSR,Montserrat
2000,2.7,51,1659,DMA,Dominica
2000,0,51,1659,CYM,Cayman Islands
2000,0.6,51,1659,BRB,Barbados
2000,6.5,51,1659,TCA,Turks and Caicos Islands
2000,1.6,51,1659,ATG,Antigua and Barbuda
2001,2.4,51,1659,DMA,Dominica
2001,6.2,51,1659,TCA,Turks and Caicos Islands
2001,1.2,51,1659,LCA,Saint Lucia
2001,0,51,1659,CYM,Cayman Islands
2001,0.6,51,1659,MSR,Montserrat
2001,0.4,51,1659,CUB,Cuba
2001,2.7,51,1659,KNA,Saint Kitts and Nevis
