ID,Key,Value
5000000,indicator-id,861
5000001,indicator,Total external debt
5000002,theme,Economic Indicators and Statistics
5000003,area,External sector
5000004,indicator-note,(Translation in progress ...)
5000005,unit,"Millions of current dollar, end of period"
5000006,definition,External debt
5000007,data-charactaristics,"External debt stock at the end of period, in million of current dolars."
5000008,methodology,External debt published by governamental agencies.
5000009,commentary,(Translation in progress ...)
1309,note,Public external debt.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
3747,note,Deuda externa pública. A partir de 2004 deuda activa no incluye deuda inmovilizada. (Translation in progress ...)
6705,note,Deuda externa pública.  TRANSLATION IN PROGRESS... descripcion insertada automaticamente el dia: 4/11/2013[dd/mm/aaaa]
