Months,Country,Year,Value,Source,Notes,ISO3
May,Guyana,1990,29.7048332,409,,GUY
November,Guyana,1990,34.3425481,409,,GUY
January,Guyana,1990,25.9176053,409,,GUY
October,Guyana,1990,33.618072,409,,GUY
February,Guyana,1990,26.5166742,409,,GUY
September,Guyana,1990,32.941933,409,,GUY
March,Guyana,1990,27.2759266,409,,GUY
April,Guyana,1990,28.0756014,409,,GUY
August,Guyana,1990,31.5255819,409,,GUY
December,Guyana,1990,36.4818125,409,,GUY
July,Guyana,1990,31.0647044,409,,GUY
June,Guyana,1990,30.2540423,409,,GUY
June,Guyana,1991,40.6851136,409,,GUY
December,Dominican Republic,1991,17.8742,409,,DOM
November,Dominican Republic,1991,17.78823,409,,DOM
July,Guyana,1991,41.0470459,409,,GUY
May,Guyana,1991,40.1602212,409,,GUY
October,Dominican Republic,1991,17.73442,409,,DOM
September,Dominican Republic,1991,17.65416,409,,DOM
August,Guyana,1991,41.5931465,409,,GUY
April,Guyana,1991,39.848124,409,,GUY
August,Dominican Republic,1991,17.23644,409,,DOM
March,Guyana,1991,39.5580169,409,,GUY
July,Dominican Republic,1991,17.1032,409,,DOM
June,Dominican Republic,1991,16.85903,409,,DOM
September,Guyana,1991,42.1686301,409,,GUY
February,Guyana,1991,38.7582912,409,,GUY
May,Dominican Republic,1991,16.83881,409,,DOM
April,Dominican Republic,1991,16.76587,409,,DOM
October,Guyana,1991,42.4297284,409,,GUY
January,Guyana,1991,37.6605558,409,,GUY
March,Dominican Republic,1991,16.34899,409,,DOM
February,Dominican Republic,1991,15.94145,409,,DOM
November,Guyana,1991,42.8781132,409,,GUY
January,Dominican Republic,1991,15.49191,409,,DOM
December,Guyana,1991,43.2520875,409,,GUY
February,Guyana,1992,44.2089539,409,,GUY
September,Guyana,1992,48.3866751,409,,GUY
October,Guyana,1992,48.654143,409,,GUY
January,Guyana,1992,43.8414478,409,,GUY
December,Dominican Republic,1992,19.19587,409,,DOM
November,Dominican Republic,1992,19.40651,409,,DOM
December,Guyana,1992,49.1356095,409,,GUY
March,Guyana,1992,44.6299385,409,,GUY
August,Guyana,1992,47.4956979,409,,GUY
October,Dominican Republic,1992,19.17539,409,,DOM
September,Dominican Republic,1992,19.17437,409,,DOM
April,Guyana,1992,44.8614402,409,,GUY
August,Dominican Republic,1992,18.96446,409,,DOM
July,Dominican Republic,1992,18.83064,409,,DOM
June,Guyana,1992,45.6476387,409,,GUY
January,Dominican Republic,1992,18.18546,409,,DOM
June,Dominican Republic,1992,18.6859,409,,DOM
May,Dominican Republic,1992,18.49974,409,,DOM
November,Guyana,1992,48.8678681,409,,GUY
May,Guyana,1992,45.1555055,409,,GUY
July,Guyana,1992,46.7066734,409,,GUY
February,Dominican Republic,1992,18.21149,409,,DOM
March,Dominican Republic,1992,18.41416,409,,DOM
April,Dominican Republic,1992,18.37894,409,,DOM
March,Dominican Republic,1993,19.57802,409,,DOM
February,Guyana,1993,50.4028698,409,,GUY
September,Dominican Republic,1993,20.41615,409,,DOM
July,Guyana,1993,52.6636006,409,,GUY
September,Guyana,1993,53.4259618,409,,GUY
May,Dominican Republic,1993,19.71501,409,,DOM
June,Dominican Republic,1993,19.89383,409,,DOM
October,Guyana,1993,53.7313958,409,,GUY
May,Guyana,1993,51.7450019,409,,GUY
October,Dominican Republic,1993,20.5635,409,,DOM
November,Guyana,1993,54.1088118,409,,GUY
February,Dominican Republic,1993,19.46393,409,,DOM
January,Dominican Republic,1993,19.36021,409,,DOM
January,Guyana,1993,49.8117004,409,,GUY
June,Guyana,1993,52.4440796,409,,GUY
July,Dominican Republic,1993,20.00718,409,,DOM
April,Guyana,1993,51.5659395,409,,GUY
August,Dominican Republic,1993,20.10825,409,,DOM
December,Guyana,1993,54.4858819,409,,GUY
December,Dominican Republic,1993,20.81031,409,,DOM
November,Dominican Republic,1993,20.66901,409,,DOM
August,Guyana,1993,52.8801699,409,,GUY
March,Guyana,1993,50.7149555,409,,GUY
April,Dominican Republic,1993,19.64433,409,,DOM
August,Guyana,1994,58.7380161,409,,GUY
March,Dominican Republic,1994,21.44755,409,,DOM
April,Dominican Republic,1994,21.73746,409,,DOM
December,Guyana,1994,59.9421342,409,,GUY
May,Dominican Republic,1994,21.9241,409,,DOM
April,Guyana,1994,57.3270319,409,,GUY
June,Dominican Republic,1994,22.27528,409,,DOM
December,Dominican Republic,1994,23.18128,409,,DOM
January,Guyana,1994,56.1250118,409,,GUY
July,Dominican Republic,1994,22.33634,409,,DOM
November,Guyana,1994,59.6685501,409,,GUY
October,Guyana,1994,59.2038561,409,,GUY
November,Dominican Republic,1994,23.0521,409,,DOM
June,Guyana,1994,58.0897533,409,,GUY
October,Dominican Republic,1994,22.98247,409,,DOM
February,Dominican Republic,1994,21.30185,409,,DOM
May,Guyana,1994,57.8649978,409,,GUY
July,Guyana,1994,58.5523025,409,,GUY
September,Guyana,1994,59.0438937,409,,GUY
February,Guyana,1994,56.6320756,409,,GUY
August,Dominican Republic,1994,22.51992,409,,DOM
March,Guyana,1994,57.1535895,409,,GUY
September,Dominican Republic,1994,22.8597,409,,DOM
January,Dominican Republic,1994,21.11441,409,,DOM
May,Dominican Republic,1995,23.77204,409,,DOM
April,Dominican Republic,1995,23.62998,409,,DOM
February,Guyana,1995,60.9542832,409,,GUY
December,Guyana,1995,65.4848822,409,,GUY
June,Dominican Republic,1995,23.91391,409,,DOM
July,Dominican Republic,1995,24.10044,409,,DOM
November,Guyana,1995,65.1542326,409,,GUY
September,Guyana,1995,64.3040889,409,,GUY
March,Dominican Republic,1995,23.52658,409,,DOM
February,Dominican Republic,1995,23.42216,409,,DOM
January,Haiti,1995,22.109,409,,HTI
May,Guyana,1995,62.401382,409,,GUY
January,Guyana,1995,60.5129867,409,,GUY
August,Dominican Republic,1995,24.17774,409,,DOM
February,Haiti,1995,22.803,409,,HTI
March,Haiti,1995,23.066,409,,HTI
April,Haiti,1995,22.955,409,,HTI
May,Haiti,1995,23.289,409,,HTI
June,Haiti,1995,23.607,409,,HTI
March,Guyana,1995,61.4626533,409,,GUY
July,Guyana,1995,63.5671105,409,,GUY
September,Dominican Republic,1995,24.54577,409,,DOM
October,Dominican Republic,1995,24.64167,409,,DOM
November,Dominican Republic,1995,24.70762,409,,DOM
December,Dominican Republic,1995,24.7775,409,,DOM
January,Dominican Republic,1995,23.32244,409,,DOM
April,Guyana,1995,61.9793171,409,,GUY
August,Guyana,1995,63.924733,409,,GUY
July,Haiti,1995,24.224,409,,HTI
October,Guyana,1995,64.6478119,409,,GUY
December,Haiti,1995,26.641,409,,HTI
August,Haiti,1995,24.389,409,,HTI
September,Haiti,1995,24.98,409,,HTI
October,Haiti,1995,25.71,409,,HTI
November,Haiti,1995,26.211,409,,HTI
June,Guyana,1995,62.8574301,409,,GUY
August,Guyana,1996,70.9403858,409,,GUY
April,Guyana,1996,69.4970487,409,,GUY
January,Dominican Republic,1996,24.80861,409,,DOM
January,Haiti,1996,26.641,409,,HTI
February,Dominican Republic,1996,24.87974,409,,DOM
March,Dominican Republic,1996,24.92983,409,,DOM
April,Dominican Republic,1996,24.96814,409,,DOM
May,Dominican Republic,1996,25.07896,409,,DOM
June,Dominican Republic,1996,25.21061,409,,DOM
July,Dominican Republic,1996,25.30675,409,,DOM
July,Guyana,1996,70.6160423,409,,GUY
March,Guyana,1996,69.102981,409,,GUY
February,Haiti,1996,26.913,409,,HTI
March,Haiti,1996,27.236,409,,HTI
April,Haiti,1996,27.721,409,,HTI
May,Haiti,1996,28.149,409,,HTI
June,Haiti,1996,28.557,409,,HTI
January,Guyana,1996,68.2374036,409,,GUY
May,Guyana,1996,69.9299485,409,,GUY
July,Haiti,1996,28.898,409,,HTI
August,Haiti,1996,29.088,409,,HTI
September,Haiti,1996,29.547,409,,HTI
October,Haiti,1996,29.903,409,,HTI
November,Haiti,1996,30.113,409,,HTI
August,Dominican Republic,1996,25.38924,409,,DOM
September,Dominican Republic,1996,25.78892,409,,DOM
October,Dominican Republic,1996,25.93922,409,,DOM
November,Dominican Republic,1996,25.97466,409,,DOM
December,Dominican Republic,1996,26.13612,409,,DOM
December,Haiti,1996,30.376,409,,HTI
September,Guyana,1996,71.0920504,409,,GUY
November,Guyana,1996,71.9892501,409,,GUY
