ID,Key,Value
5000000,indicator-id,2216
5000001,indicator,Annual Gross Domestic Product (GDP) by activity at constant prices
5000002,theme,Economic Indicators and Statistics
5000003,area,Annual National Account in dollars
5000004,indicator-note,(Translation in progress ...)
5000005,unit,Millions of dollars
5000006,definition,El producto interno bruto (PIB) es el valor del flujo de bienes y servicios producidos en un país durante un período de referencia determinado. (Translation in progress ...)
5000007,data-charactaristics,(Translation in progress ...)
5000008,methodology,(Translation in progress ...)
5000009,commentary,(Translation in progress ...)
