ID,Key,Value
5000000,indicator-id,1010
5000001,indicator,Prison population rate
5000002,theme,Social Cohesion Indicators and Statistics
5000003,area,The Way the Rules of Law Functions
5000004,indicator-note,(Translation in progress ...)
5000005,unit,rate per 100.000 of national population
5000006,definition,Prison population rate (per 100.000 of national population)
5000007,data-charactaristics,translation in progress...
5000008,methodology,translation in progress...
5000009,commentary,translation in progress...
