Country,Year,Value,Source,Notes,ISO3
Trinidad and Tobago,1950,0.00188586,1277,6249,TTO
Haiti,1950,5,1277,6252,HTI
Antigua and Barbuda,1950,1.7142900000000001,1277,6251,ATG
Jamaica,1950,1.7142900000000001,1277,6704,JAM
Grenada,1950,1.7142900000000001,1277,6251,GRD
Dominica,1950,1.4285699999999999,1277,6251,DMA
Suriname,1950,1.7142900000000001,1277,6248,SUR
Guyana,1950,1.7142900000000001,1277,6703,GUY
Saint Kitts and Nevis,1950,0.714286,1277,6251,KNA
Saint Vincent and the Grenadines,1950,1.7142900000000001,1277,6251,VCT
Saint Lucia,1950,1.7142900000000001,1277,6251,LCA
Dominican Republic,1950,1,1277,6259,DOM
Bahamas,1950,1.7142900000000001,1277,6250,BHS
Barbados,1950,1.02041,1277,6244,BRB
Belize,1950,1.7142900000000001,1277,6245,BLZ
Haiti,1951,5,1277,6252,HTI
Belize,1951,1.7142900000000001,1277,6245,BLZ
Antigua and Barbuda,1951,1.7142900000000001,1277,6251,ATG
Suriname,1951,1.7142900000000001,1277,6248,SUR
Barbados,1951,1.02041,1277,6244,BRB
Bahamas,1951,1.7142900000000001,1277,6250,BHS
Trinidad and Tobago,1951,0.00188586,1277,6249,TTO
Dominican Republic,1951,1,1277,6259,DOM
Dominica,1951,1.4285699999999999,1277,6251,DMA
Guyana,1951,1.7142900000000001,1277,6703,GUY
Saint Vincent and the Grenadines,1951,1.7142900000000001,1277,6251,VCT
Saint Lucia,1951,1.7142900000000001,1277,6251,LCA
Grenada,1951,1.7142900000000001,1277,6251,GRD
Saint Kitts and Nevis,1951,0.714286,1277,6251,KNA
Jamaica,1951,1.7142900000000001,1277,6704,JAM
Jamaica,1952,1.7142900000000001,1277,6704,JAM
Saint Vincent and the Grenadines,1952,1.7142900000000001,1277,6251,VCT
Dominica,1952,1.4285699999999999,1277,6251,DMA
Dominican Republic,1952,1,1277,6259,DOM
Guyana,1952,1.7142900000000001,1277,6703,GUY
Bahamas,1952,1.7142900000000001,1277,6250,BHS
Trinidad and Tobago,1952,0.00188586,1277,6249,TTO
Antigua and Barbuda,1952,1.7142900000000001,1277,6251,ATG
Suriname,1952,1.7142900000000001,1277,6248,SUR
Saint Lucia,1952,1.7142900000000001,1277,6251,LCA
Grenada,1952,1.7142900000000001,1277,6251,GRD
Belize,1952,1.7142900000000001,1277,6245,BLZ
Saint Kitts and Nevis,1952,0.714286,1277,6251,KNA
Barbados,1952,1.02041,1277,6244,BRB
Haiti,1952,5,1277,6252,HTI
Haiti,1953,5,1277,6252,HTI
Bahamas,1953,1.7142900000000001,1277,6250,BHS
Grenada,1953,1.7142900000000001,1277,6251,GRD
Saint Kitts and Nevis,1953,0.714286,1277,6251,KNA
Dominica,1953,1.4285699999999999,1277,6251,DMA
Jamaica,1953,1.7142900000000001,1277,6704,JAM
Saint Vincent and the Grenadines,1953,1.7142900000000001,1277,6251,VCT
Belize,1953,1.7142900000000001,1277,6245,BLZ
Dominican Republic,1953,1,1277,6259,DOM
Trinidad and Tobago,1953,0.00188586,1277,6249,TTO
Antigua and Barbuda,1953,1.7142900000000001,1277,6251,ATG
Barbados,1953,1.02041,1277,6244,BRB
Suriname,1953,1.7142900000000001,1277,6248,SUR
Saint Lucia,1953,1.7142900000000001,1277,6251,LCA
Guyana,1953,1.7142900000000001,1277,6703,GUY
Belize,1954,1.7142900000000001,1277,6245,BLZ
Saint Kitts and Nevis,1954,0.714286,1277,6251,KNA
Suriname,1954,1.7142900000000001,1277,6248,SUR
Saint Lucia,1954,1.7142900000000001,1277,6251,LCA
Haiti,1954,5,1277,6252,HTI
Barbados,1954,1.02041,1277,6244,BRB
Grenada,1954,1.7142900000000001,1277,6251,GRD
Bahamas,1954,1.7142900000000001,1277,6250,BHS
Dominican Republic,1954,1,1277,6259,DOM
Trinidad and Tobago,1954,0.00188586,1277,6249,TTO
Dominica,1954,1.4285699999999999,1277,6251,DMA
Guyana,1954,1.7142900000000001,1277,6703,GUY
Saint Vincent and the Grenadines,1954,1.7142900000000001,1277,6251,VCT
Jamaica,1954,1.7142900000000001,1277,6704,JAM
Antigua and Barbuda,1954,1.7142900000000001,1277,6251,ATG
Belize,1955,1.7142900000000001,1277,6245,BLZ
