year,value,source,notes
1996,77.7,United Nations Statistics Division: Millennium Indicators Database,Years of survey: 1995-1996|Figures by method do not add up to the total|Adjusted|The figure is the one produced and disseminated by the country (including data adjusted by the country to meet international standards)
2002,84.1,United Nations Statistics Division: Millennium Indicators Database,Ages 18-44|Data pertain to sexually active women of reproductive age|Adjusted|The figure is the one produced and disseminated by the country (including data adjusted by the country to meet international standards)
