year,value,source,notes
2000,73.3,United Nations Statistics Division: Millennium Indicators Database,Data pertain to sexually active women of reproductive age|Figures by method do not add up to the total|The figure is the one produced and disseminated by the country (including data adjusted by the country to meet international standards)
2006,72.6,United Nations Statistics Division: Millennium Indicators Database,"Data pertain to all women of reproductive age, irrespective of marital status|The figure is the one produced and disseminated by the country (including data adjusted by the country to meet international standards)"
2011,74.3,United Nations Statistics Division: Millennium Indicators Database,Years of the survey 2010-2011|The figure is the one produced and disseminated by the country (including data adjusted by the country to meet international standards)
