year,value,source,note
1990,314812652,Economic Commission for Latin America and the Caribbean,
1991,323788894,Economic Commission for Latin America and the Caribbean,
1992,274968396,Economic Commission for Latin America and the Caribbean,
1993,219319280,Economic Commission for Latin America and the Caribbean,
1994,225478790,Economic Commission for Latin America and the Caribbean,
1995,221742449,Economic Commission for Latin America and the Caribbean,
1996,232315467,Economic Commission for Latin America and the Caribbean,
1997,232892578,Economic Commission for Latin America and the Caribbean,
1998,237890151,Economic Commission for Latin America and the Caribbean,
1999,216587240,Economic Commission for Latin America and the Caribbean,
2000,346674496,Economic Commission for Latin America and the Caribbean,
2001,389902856,Economic Commission for Latin America and the Caribbean,
2002,375493403,Economic Commission for Latin America and the Caribbean,
2003,396295378,Economic Commission for Latin America and the Caribbean,
2004,439064521,Economic Commission for Latin America and the Caribbean,
2005,483988111,Economic Commission for Latin America and the Caribbean,
2006,492464260,Economic Commission for Latin America and the Caribbean,
2007,502011225,Economic Commission for Latin America and the Caribbean,
2008,548154887,Economic Commission for Latin America and the Caribbean,
2009,485304037,Economic Commission for Latin America and the Caribbean,
2010,516331672,Economic Commission for Latin America and the Caribbean,
2011,557701852,Economic Commission for Latin America and the Caribbean,
2012,559912424,Economic Commission for Latin America and the Caribbean,
