key,value
name,Saint Lucia - Annual Gross Domestic Product (GDP) by activity: Manufacturing [CEPALStat]
dataset,CEPALStat national accounts [2216]
description,Annual national account statistics for Saint Lucia: Manufacturing
file,C:/statmart/data/facts/gen2/cepalstat/gdp-sec/mfg/gdp-sec-mfg_lca_cepalstat.csv
filehash,62819f83fe6ffbc0b6719e13aaa823658c9dc905
category,Economy
type,GDP
columns,"year,value,source,notes"
