year,value,source,note
1990,27402768,Economic Commission for Latin America and the Caribbean,
1991,27537968,Economic Commission for Latin America and the Caribbean,
1992,31935503,Economic Commission for Latin America and the Caribbean,
1993,30668899,Economic Commission for Latin America and the Caribbean,
1994,30512353,Economic Commission for Latin America and the Caribbean,
1995,30818330,Economic Commission for Latin America and the Caribbean,
1996,32134745,Economic Commission for Latin America and the Caribbean,
1997,31850114,Economic Commission for Latin America and the Caribbean,
1998,30056944,Economic Commission for Latin America and the Caribbean,
1999,29793662,Economic Commission for Latin America and the Caribbean,
2000,26990054,Economic Commission for Latin America and the Caribbean,
2001,25887964,Economic Commission for Latin America and the Caribbean,
2002,25184414,Economic Commission for Latin America and the Caribbean,
2003,27161891,Economic Commission for Latin America and the Caribbean,
2004,26425441,Economic Commission for Latin America and the Caribbean,
2005,28361812,Economic Commission for Latin America and the Caribbean,
2006,28260454,Economic Commission for Latin America and the Caribbean,
2007,26556933,Economic Commission for Latin America and the Caribbean,
2008,27252891,Economic Commission for Latin America and the Caribbean,
2009,25037362,Economic Commission for Latin America and the Caribbean,
2010,24365083,Economic Commission for Latin America and the Caribbean,
2011,25782572,Economic Commission for Latin America and the Caribbean,
2012,25196175,Economic Commission for Latin America and the Caribbean,
