year,value,source,note
1990,110906821,Economic Commission for Latin America and the Caribbean,
1991,114852459,Economic Commission for Latin America and the Caribbean,
1992,122176241,Economic Commission for Latin America and the Caribbean,
1993,116608558,Economic Commission for Latin America and the Caribbean,
1994,121009977,Economic Commission for Latin America and the Caribbean,
1995,118096550,Economic Commission for Latin America and the Caribbean,
1996,122368384,Economic Commission for Latin America and the Caribbean,
1997,130545640,Economic Commission for Latin America and the Caribbean,
1998,132735178,Economic Commission for Latin America and the Caribbean,
1999,137516415,Economic Commission for Latin America and the Caribbean,
2000,134795132,Economic Commission for Latin America and the Caribbean,
2001,122257357,Economic Commission for Latin America and the Caribbean,
2002,122162932,Economic Commission for Latin America and the Caribbean,
2003,140760015,Economic Commission for Latin America and the Caribbean,
2004,146616697,Economic Commission for Latin America and the Caribbean,
2005,161174304,Economic Commission for Latin America and the Caribbean,
2006,169293265,Economic Commission for Latin America and the Caribbean,
2007,172288160,Economic Commission for Latin America and the Caribbean,
2008,170188927,Economic Commission for Latin America and the Caribbean,
2009,156412775,Economic Commission for Latin America and the Caribbean,
2010,160644228,Economic Commission for Latin America and the Caribbean,
2011,172337033,Economic Commission for Latin America and the Caribbean,
2012,167392435,Economic Commission for Latin America and the Caribbean,
