key,value
name,"Belize - Annual Gross Domestic Product (GDP) by activity: Wholesale and retail trade, repair of goods, and hotels and restaurants [CEPALStat]"
dataset,CEPALStat national accounts [2216]
description,"Annual national account statistics for Belize: Wholesale and retail trade, repair of goods, and hotels and restaurants"
file,C:/statmart/data/facts/gen2/cepalstat/gdp-sec/wrtrghr/gdp-sec-wrtrghr_blz_cepalstat.csv
filehash,cf21faaf1617fa471ae2e55f24dfb32bc273c113
category,Economy
type,GDP
columns,"year,value,source,notes"
