year,value,source,note
1990,353821968,Economic Commission for Latin America and the Caribbean,
1991,367281093,Economic Commission for Latin America and the Caribbean,
1992,384065694,Economic Commission for Latin America and the Caribbean,
1993,364045236,Economic Commission for Latin America and the Caribbean,
1994,312133301,Economic Commission for Latin America and the Caribbean,
1995,369016068,Economic Commission for Latin America and the Caribbean,
1996,347015833,Economic Commission for Latin America and the Caribbean,
1997,385867321,Economic Commission for Latin America and the Caribbean,
1998,394169438,Economic Commission for Latin America and the Caribbean,
1999,371993135,Economic Commission for Latin America and the Caribbean,
2000,313335554,Economic Commission for Latin America and the Caribbean,
2001,267602159,Economic Commission for Latin America and the Caribbean,
2002,290468856,Economic Commission for Latin America and the Caribbean,
2003,383542494,Economic Commission for Latin America and the Caribbean,
2004,417780738,Economic Commission for Latin America and the Caribbean,
2005,466604227,Economic Commission for Latin America and the Caribbean,
2006,529642149,Economic Commission for Latin America and the Caribbean,
2007,560863952,Economic Commission for Latin America and the Caribbean,
2008,574782105,Economic Commission for Latin America and the Caribbean,
2009,676347006,Economic Commission for Latin America and the Caribbean,
2010,708697308,Economic Commission for Latin America and the Caribbean,
2011,737285946,Economic Commission for Latin America and the Caribbean,
2012,795556235,Economic Commission for Latin America and the Caribbean,
