year,value,source,note
1990,2791195760,Economic Commission for Latin America and the Caribbean,
1991,2922891059,Economic Commission for Latin America and the Caribbean,
1992,3386842272,Economic Commission for Latin America and the Caribbean,
1993,3780892790,Economic Commission for Latin America and the Caribbean,
1994,3958431686,Economic Commission for Latin America and the Caribbean,
1995,4383901094,Economic Commission for Latin America and the Caribbean,
1996,4694431843,Economic Commission for Latin America and the Caribbean,
1997,5195645479,Economic Commission for Latin America and the Caribbean,
1998,5355083674,Economic Commission for Latin America and the Caribbean,
1999,5738112244,Economic Commission for Latin America and the Caribbean,
2000,5992440553,Economic Commission for Latin America and the Caribbean,
2001,5934274433,Economic Commission for Latin America and the Caribbean,
2002,6201255814,Economic Commission for Latin America and the Caribbean,
2003,6058920643,Economic Commission for Latin America and the Caribbean,
2004,5987626368,Economic Commission for Latin America and the Caribbean,
2005,6735867856,Economic Commission for Latin America and the Caribbean,
2006,7293473965,Economic Commission for Latin America and the Caribbean,
2007,7968314972,Economic Commission for Latin America and the Caribbean,
2008,8314049446,Economic Commission for Latin America and the Caribbean,
2009,8057329881,Economic Commission for Latin America and the Caribbean,
2010,8851353631,Economic Commission for Latin America and the Caribbean,
2011,9248618885,Economic Commission for Latin America and the Caribbean,
2012,9585279254,Economic Commission for Latin America and the Caribbean,
