year,value,source,note
1990,1862437173,Economic Commission for Latin America and the Caribbean,
1991,1884036406,Economic Commission for Latin America and the Caribbean,
1992,1996977074,Economic Commission for Latin America and the Caribbean,
1993,2057012778,Economic Commission for Latin America and the Caribbean,
1994,2069760831,Economic Commission for Latin America and the Caribbean,
1995,2159834395,Economic Commission for Latin America and the Caribbean,
1996,2192919052,Economic Commission for Latin America and the Caribbean,
1997,2221837199,Economic Commission for Latin America and the Caribbean,
1998,2213154674,Economic Commission for Latin America and the Caribbean,
1999,2217363504,Economic Commission for Latin America and the Caribbean,
2000,2263355476,Economic Commission for Latin America and the Caribbean,
2001,2252357106,Economic Commission for Latin America and the Caribbean,
2002,2260847780,Economic Commission for Latin America and the Caribbean,
2003,2310010535,Economic Commission for Latin America and the Caribbean,
2004,2356743628,Economic Commission for Latin America and the Caribbean,
2005,2404345166,Economic Commission for Latin America and the Caribbean,
2006,2495274020,Economic Commission for Latin America and the Caribbean,
2007,2524475296,Economic Commission for Latin America and the Caribbean,
2008,2526199435,Economic Commission for Latin America and the Caribbean,
2009,2463167066,Economic Commission for Latin America and the Caribbean,
2010,2407220345,Economic Commission for Latin America and the Caribbean,
2011,2424507249,Economic Commission for Latin America and the Caribbean,
2012,2404132090,Economic Commission for Latin America and the Caribbean,
