year,value,source,note
2002,267895419,Economic Commission for Latin America and the Caribbean,
2003,262809744,Economic Commission for Latin America and the Caribbean,
2004,272233201,Economic Commission for Latin America and the Caribbean,
2005,231099063,Economic Commission for Latin America and the Caribbean,
2006,248450191,Economic Commission for Latin America and the Caribbean,
2007,248696646,Economic Commission for Latin America and the Caribbean,
2008,240856577,Economic Commission for Latin America and the Caribbean,
2009,249110505,Economic Commission for Latin America and the Caribbean,
2010,252570179,Economic Commission for Latin America and the Caribbean,
2011,262674846,Economic Commission for Latin America and the Caribbean,
2012,267483050,Economic Commission for Latin America and the Caribbean,
