year,value,source,note
2000,45919998,Economic Commission for Latin America and the Caribbean,
2001,43090210,Economic Commission for Latin America and the Caribbean,
2002,42295167,Economic Commission for Latin America and the Caribbean,
2003,40291808,Economic Commission for Latin America and the Caribbean,
2004,40708496,Economic Commission for Latin America and the Caribbean,
2005,40511919,Economic Commission for Latin America and the Caribbean,
2006,40733825,Economic Commission for Latin America and the Caribbean,
2007,36989438,Economic Commission for Latin America and the Caribbean,
2008,42534276,Economic Commission for Latin America and the Caribbean,
2009,43235287,Economic Commission for Latin America and the Caribbean,
2010,39811651,Economic Commission for Latin America and the Caribbean,
2011,42801102,Economic Commission for Latin America and the Caribbean,
2012,45997127,Economic Commission for Latin America and the Caribbean,
