year,value,source,note
1990,1412532780,Economic Commission for Latin America and the Caribbean,
1991,1422928772,Economic Commission for Latin America and the Caribbean,
1992,1412646400,Economic Commission for Latin America and the Caribbean,
1993,1477469616,Economic Commission for Latin America and the Caribbean,
1994,1525122170,Economic Commission for Latin America and the Caribbean,
1995,1592941170,Economic Commission for Latin America and the Caribbean,
1996,1518024127,Economic Commission for Latin America and the Caribbean,
1997,1602424596,Economic Commission for Latin America and the Caribbean,
1998,1577262326,Economic Commission for Latin America and the Caribbean,
1999,1601517900,Economic Commission for Latin America and the Caribbean,
2000,1588831050,Economic Commission for Latin America and the Caribbean,
2001,1609058615,Economic Commission for Latin America and the Caribbean,
2002,1587418887,Economic Commission for Latin America and the Caribbean,
2003,1519411824,Economic Commission for Latin America and the Caribbean,
2004,1573346426,Economic Commission for Latin America and the Caribbean,
2005,1551985000,Economic Commission for Latin America and the Caribbean,
2006,1497806515,Economic Commission for Latin America and the Caribbean,
2007,1554110128,Economic Commission for Latin America and the Caribbean,
2008,1503577109,Economic Commission for Latin America and the Caribbean,
2009,1413117045,Economic Commission for Latin America and the Caribbean,
2010,1458612103,Economic Commission for Latin America and the Caribbean,
2011,1465637517,Economic Commission for Latin America and the Caribbean,
2012,1466179370,Economic Commission for Latin America and the Caribbean,
