year,value,source,note
1990,3223180040,Economic Commission for Latin America and the Caribbean,
1991,3176354180,Economic Commission for Latin America and the Caribbean,
1992,3402697274,Economic Commission for Latin America and the Caribbean,
1993,3485330467,Economic Commission for Latin America and the Caribbean,
1994,3551725254,Economic Commission for Latin America and the Caribbean,
1995,3537597840,Economic Commission for Latin America and the Caribbean,
1996,3763047822,Economic Commission for Latin America and the Caribbean,
1997,4094554899,Economic Commission for Latin America and the Caribbean,
1998,4399938439,Economic Commission for Latin America and the Caribbean,
1999,4452469685,Economic Commission for Latin America and the Caribbean,
2000,4731770284,Economic Commission for Latin America and the Caribbean,
2001,4833077645,Economic Commission for Latin America and the Caribbean,
2002,5031957534,Economic Commission for Latin America and the Caribbean,
2003,5208915573,Economic Commission for Latin America and the Caribbean,
2004,5350331799,Economic Commission for Latin America and the Caribbean,
2005,5286108900,Economic Commission for Latin America and the Caribbean,
2006,5594131181,Economic Commission for Latin America and the Caribbean,
2007,5843654601,Economic Commission for Latin America and the Caribbean,
2008,6049232833,Economic Commission for Latin America and the Caribbean,
2009,6396876827,Economic Commission for Latin America and the Caribbean,
2010,6660832131,Economic Commission for Latin America and the Caribbean,
2011,6998124141,Economic Commission for Latin America and the Caribbean,
2012,7256822261,Economic Commission for Latin America and the Caribbean,
