year,value,source,note
2000,39344776,Economic Commission for Latin America and the Caribbean,
2001,40188805,Economic Commission for Latin America and the Caribbean,
2002,47005970,Economic Commission for Latin America and the Caribbean,
2003,47720149,Economic Commission for Latin America and the Caribbean,
2004,52784328,Economic Commission for Latin America and the Caribbean,
2005,52200000,Economic Commission for Latin America and the Caribbean,
2006,50836567,Economic Commission for Latin America and the Caribbean,
2007,52849253,Economic Commission for Latin America and the Caribbean,
2008,51745522,Economic Commission for Latin America and the Caribbean,
2009,46161940,Economic Commission for Latin America and the Caribbean,
2010,49745472,Economic Commission for Latin America and the Caribbean,
2011,48609391,Economic Commission for Latin America and the Caribbean,
2012,50631333,Economic Commission for Latin America and the Caribbean,
