year,value,source,note
2002,585044548,Economic Commission for Latin America and the Caribbean,
2003,614594212,Economic Commission for Latin America and the Caribbean,
2004,619970697,Economic Commission for Latin America and the Caribbean,
2005,611961726,Economic Commission for Latin America and the Caribbean,
2006,638433648,Economic Commission for Latin America and the Caribbean,
2007,633442256,Economic Commission for Latin America and the Caribbean,
2008,595596508,Economic Commission for Latin America and the Caribbean,
2009,547676134,Economic Commission for Latin America and the Caribbean,
2010,524656108,Economic Commission for Latin America and the Caribbean,
2011,510582797,Economic Commission for Latin America and the Caribbean,
2012,496646147,Economic Commission for Latin America and the Caribbean,
