year,value,source,note
2000,17742153,Economic Commission for Latin America and the Caribbean,
2001,19353250,Economic Commission for Latin America and the Caribbean,
2002,19175334,Economic Commission for Latin America and the Caribbean,
2003,18924241,Economic Commission for Latin America and the Caribbean,
2004,21930113,Economic Commission for Latin America and the Caribbean,
2005,23518457,Economic Commission for Latin America and the Caribbean,
2006,22876709,Economic Commission for Latin America and the Caribbean,
2007,24769683,Economic Commission for Latin America and the Caribbean,
2008,27810392,Economic Commission for Latin America and the Caribbean,
2009,26875513,Economic Commission for Latin America and the Caribbean,
2010,28259576,Economic Commission for Latin America and the Caribbean,
2011,28616365,Economic Commission for Latin America and the Caribbean,
2012,27712528,Economic Commission for Latin America and the Caribbean,
