year,value,source,note
1990,25351758,Economic Commission for Latin America and the Caribbean,
1991,25392707,Economic Commission for Latin America and the Caribbean,
1992,25527840,Economic Commission for Latin America and the Caribbean,
1993,25355853,Economic Commission for Latin America and the Caribbean,
1994,25482796,Economic Commission for Latin America and the Caribbean,
1995,27534360,Economic Commission for Latin America and the Caribbean,
1996,28279638,Economic Commission for Latin America and the Caribbean,
1997,31293512,Economic Commission for Latin America and the Caribbean,
1998,32440095,Economic Commission for Latin America and the Caribbean,
1999,33779139,Economic Commission for Latin America and the Caribbean,
2000,34213203,Economic Commission for Latin America and the Caribbean,
2001,35293081,Economic Commission for Latin America and the Caribbean,
2002,41628945,Economic Commission for Latin America and the Caribbean,
2003,45073623,Economic Commission for Latin America and the Caribbean,
2004,48225592,Economic Commission for Latin America and the Caribbean,
2005,48331422,Economic Commission for Latin America and the Caribbean,
2006,52610988,Economic Commission for Latin America and the Caribbean,
2007,55221354,Economic Commission for Latin America and the Caribbean,
2008,55855522,Economic Commission for Latin America and the Caribbean,
2009,55911168,Economic Commission for Latin America and the Caribbean,
2010,56367445,Economic Commission for Latin America and the Caribbean,
2011,56286850,Economic Commission for Latin America and the Caribbean,
2012,56670052,Economic Commission for Latin America and the Caribbean,
