year,value,source,note
1997,279721294,Economic Commission for Latin America and the Caribbean,
1998,296047343,Economic Commission for Latin America and the Caribbean,
1999,296637482,Economic Commission for Latin America and the Caribbean,
2000,321676228,Economic Commission for Latin America and the Caribbean,
2001,281890757,Economic Commission for Latin America and the Caribbean,
2002,306803606,Economic Commission for Latin America and the Caribbean,
2003,336786030,Economic Commission for Latin America and the Caribbean,
2004,335096547,Economic Commission for Latin America and the Caribbean,
2005,377029000,Economic Commission for Latin America and the Caribbean,
2006,393987902,Economic Commission for Latin America and the Caribbean,
2007,365327390,Economic Commission for Latin America and the Caribbean,
2008,313803215,Economic Commission for Latin America and the Caribbean,
2009,336668002,Economic Commission for Latin America and the Caribbean,
2010,291467866,Economic Commission for Latin America and the Caribbean,
2011,312274474,Economic Commission for Latin America and the Caribbean,
2012,369685425,Economic Commission for Latin America and the Caribbean,
