key,value
name,Dominican Republic - Transport and supporting and auxiliary activities [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Transport and supporting and auxiliary activities [2216]
description,Sectoral GDP: Transport and supporting and auxiliary activities
category,Economic
type,GDP
file,gdp-sec--tsaa_dom_cepalstat.csv
filehash,a4dd425a45f61a9e182c9960a123a61be118767c
columns,"year,value,source,notes"
