year,value,source,note
1990,51392225,Economic Commission for Latin America and the Caribbean,
1991,52436783,Economic Commission for Latin America and the Caribbean,
1992,53481340,Economic Commission for Latin America and the Caribbean,
1993,55361543,Economic Commission for Latin America and the Caribbean,
1994,66433852,Economic Commission for Latin America and the Caribbean,
1995,72910108,Economic Commission for Latin America and the Caribbean,
1996,83146771,Economic Commission for Latin America and the Caribbean,
1997,94010169,Economic Commission for Latin America and the Caribbean,
1998,98397310,Economic Commission for Latin America and the Caribbean,
1999,88578470,Economic Commission for Latin America and the Caribbean,
2000,94427992,Economic Commission for Latin America and the Caribbean,
2001,96308195,Economic Commission for Latin America and the Caribbean,
2002,92547788,Economic Commission for Latin America and the Caribbean,
2003,97770575,Economic Commission for Latin America and the Caribbean,
2004,101739894,Economic Commission for Latin America and the Caribbean,
2005,111349822,Economic Commission for Latin America and the Caribbean,
2006,124720157,Economic Commission for Latin America and the Caribbean,
2007,133871551,Economic Commission for Latin America and the Caribbean,
2008,136877204,Economic Commission for Latin America and the Caribbean,
2009,137554195,Economic Commission for Latin America and the Caribbean,
2010,152217552,Economic Commission for Latin America and the Caribbean,
2011,156423545,Economic Commission for Latin America and the Caribbean,
2012,139157850,Economic Commission for Latin America and the Caribbean,
