key,value
name,Antigua and Barbuda - Construction [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Construction [2216]
description,Sectoral GDP: Construction
category,Economic
type,GDP
file,gdp-sec--cstrn_atg_cepalstat.csv
filehash,23c3c63556c2a38fccb7cf7917e12826eb498f02
columns,"year,value,source,notes"
