key,value
name,Grenada - Construction [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Construction [2216]
description,Sectoral GDP: Construction
category,Economic
type,GDP
file,gdp-sec--cstrn_grd_cepalstat.csv
filehash,0953647e270d05228dde7a9827dc508204936848
columns,"year,value,source,notes"
