year,value,source,note
1990,341127957,Economic Commission for Latin America and the Caribbean,
1991,323751260,Economic Commission for Latin America and the Caribbean,
1992,342175760,Economic Commission for Latin America and the Caribbean,
1993,275475803,Economic Commission for Latin America and the Caribbean,
1994,327724060,Economic Commission for Latin America and the Caribbean,
1995,289611715,Economic Commission for Latin America and the Caribbean,
1996,310355746,Economic Commission for Latin America and the Caribbean,
1997,409639170,Economic Commission for Latin America and the Caribbean,
1998,504042107,Economic Commission for Latin America and the Caribbean,
1999,431368531,Economic Commission for Latin America and the Caribbean,
2000,474637400,Economic Commission for Latin America and the Caribbean,
2001,374194397,Economic Commission for Latin America and the Caribbean,
2002,434166416,Economic Commission for Latin America and the Caribbean,
2003,479641103,Economic Commission for Latin America and the Caribbean,
2004,398385975,Economic Commission for Latin America and the Caribbean,
2005,529959000,Economic Commission for Latin America and the Caribbean,
2006,638319069,Economic Commission for Latin America and the Caribbean,
2007,416598163,Economic Commission for Latin America and the Caribbean,
2008,536110628,Economic Commission for Latin America and the Caribbean,
2009,481527890,Economic Commission for Latin America and the Caribbean,
2010,615086542,Economic Commission for Latin America and the Caribbean,
2011,592838510,Economic Commission for Latin America and the Caribbean,
2012,736972170,Economic Commission for Latin America and the Caribbean,
