year,value,source,note
1990,50541461,Economic Commission for Latin America and the Caribbean,
1991,54775353,Economic Commission for Latin America and the Caribbean,
1992,52263043,Economic Commission for Latin America and the Caribbean,
1993,49650642,Economic Commission for Latin America and the Caribbean,
1994,51637468,Economic Commission for Latin America and the Caribbean,
1995,54745325,Economic Commission for Latin America and the Caribbean,
1996,61321370,Economic Commission for Latin America and the Caribbean,
1997,66225879,Economic Commission for Latin America and the Caribbean,
1998,72846966,Economic Commission for Latin America and the Caribbean,
1999,78674723,Economic Commission for Latin America and the Caribbean,
2000,83787022,Economic Commission for Latin America and the Caribbean,
2001,59267578,Economic Commission for Latin America and the Caribbean,
2002,63277825,Economic Commission for Latin America and the Caribbean,
2003,69506674,Economic Commission for Latin America and the Caribbean,
2004,73879343,Economic Commission for Latin America and the Caribbean,
2005,94357281,Economic Commission for Latin America and the Caribbean,
2006,137842288,Economic Commission for Latin America and the Caribbean,
2007,147979399,Economic Commission for Latin America and the Caribbean,
2008,148870799,Economic Commission for Latin America and the Caribbean,
2009,135136211,Economic Commission for Latin America and the Caribbean,
2010,87953082,Economic Commission for Latin America and the Caribbean,
2011,66522935,Economic Commission for Latin America and the Caribbean,
2012,73171334,Economic Commission for Latin America and the Caribbean,
