key,value
name,Dominican Republic - Construction [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Construction [2216]
description,Sectoral GDP: Construction
category,Economic
type,GDP
file,gdp-sec--cstrn_dom_cepalstat.csv
filehash,bd4ba4669b424ecf21805b23b413511972381f45
columns,"year,value,source,notes"
