key,value
name,Belize - Construction [CEPALStat]
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,Construction [2216]
description,Sectoral GDP: Construction
category,Economic
type,GDP
file,gdp-sec--cstrn_blz_cepalstat.csv
filehash,b61f509bf90c095a7b7d125c31ea60494181e195
columns,"year,value,source,notes"
