year,value,source,note
2000,2005822,Economic Commission for Latin America and the Caribbean,
2001,2485750,Economic Commission for Latin America and the Caribbean,
2002,2830095,Economic Commission for Latin America and the Caribbean,
2003,2955199,Economic Commission for Latin America and the Caribbean,
2004,3365276,Economic Commission for Latin America and the Caribbean,
2005,3338227,Economic Commission for Latin America and the Caribbean,
2006,2702804,Economic Commission for Latin America and the Caribbean,
2007,2658652,Economic Commission for Latin America and the Caribbean,
2008,2933897,Economic Commission for Latin America and the Caribbean,
2009,2516648,Economic Commission for Latin America and the Caribbean,
2010,2517128,Economic Commission for Latin America and the Caribbean,
2011,3331067,Economic Commission for Latin America and the Caribbean,
2012,2796190,Economic Commission for Latin America and the Caribbean,
