year,value,source,note
2002,45795204,Economic Commission for Latin America and the Caribbean,
2003,45795204,Economic Commission for Latin America and the Caribbean,
2004,45219163,Economic Commission for Latin America and the Caribbean,
2005,46371244,Economic Commission for Latin America and the Caribbean,
2006,44931143,Economic Commission for Latin America and the Caribbean,
2007,46372939,Economic Commission for Latin America and the Caribbean,
2008,45575145,Economic Commission for Latin America and the Caribbean,
2009,40793191,Economic Commission for Latin America and the Caribbean,
2010,44210246,Economic Commission for Latin America and the Caribbean,
2011,41864926,Economic Commission for Latin America and the Caribbean,
2012,48338586,Economic Commission for Latin America and the Caribbean,
