key,value
name,Bahamas - Annual Gross Domestic Product (GDP) by activity: Fishing [CEPALStat]
dataset,CEPALStat national accounts [2216]
description,Annual national account statistics for Bahamas: Fishing
file,gdp-sec-fish_bhs_cepalstat.csv
filehash,7bdb470e2307310d81deeb73b2a0df20cba8b09f
category,Economy
type,GDP
columns,"year,value,source,notes"
