year,value,source,note
1990,36924773,Economic Commission for Latin America and the Caribbean,
1991,41941726,Economic Commission for Latin America and the Caribbean,
1992,41279488,Economic Commission for Latin America and the Caribbean,
1993,40784482,Economic Commission for Latin America and the Caribbean,
1994,42684235,Economic Commission for Latin America and the Caribbean,
1995,45620825,Economic Commission for Latin America and the Caribbean,
1996,45192712,Economic Commission for Latin America and the Caribbean,
1997,43794654,Economic Commission for Latin America and the Caribbean,
1998,46704487,Economic Commission for Latin America and the Caribbean,
1999,49373506,Economic Commission for Latin America and the Caribbean,
2000,49580873,Economic Commission for Latin America and the Caribbean,
2001,50705318,Economic Commission for Latin America and the Caribbean,
2002,51187928,Economic Commission for Latin America and the Caribbean,
2003,53742826,Economic Commission for Latin America and the Caribbean,
2004,56066443,Economic Commission for Latin America and the Caribbean,
2005,57371498,Economic Commission for Latin America and the Caribbean,
2006,58390765,Economic Commission for Latin America and the Caribbean,
2007,61931491,Economic Commission for Latin America and the Caribbean,
2008,63496571,Economic Commission for Latin America and the Caribbean,
2009,64550586,Economic Commission for Latin America and the Caribbean,
2010,65523719,Economic Commission for Latin America and the Caribbean,
2011,65994779,Economic Commission for Latin America and the Caribbean,
2012,66161737,Economic Commission for Latin America and the Caribbean,
