year,value,source,note
1990,77501166,Economic Commission for Latin America and the Caribbean,
1991,79398168,Economic Commission for Latin America and the Caribbean,
1992,82559839,Economic Commission for Latin America and the Caribbean,
1993,89986890,Economic Commission for Latin America and the Caribbean,
1994,90567488,Economic Commission for Latin America and the Caribbean,
1995,86963183,Economic Commission for Latin America and the Caribbean,
1996,97850827,Economic Commission for Latin America and the Caribbean,
1997,112555469,Economic Commission for Latin America and the Caribbean,
1998,123753531,Economic Commission for Latin America and the Caribbean,
1999,125917321,Economic Commission for Latin America and the Caribbean,
2000,128950168,Economic Commission for Latin America and the Caribbean,
2001,131960025,Economic Commission for Latin America and the Caribbean,
2002,142251126,Economic Commission for Latin America and the Caribbean,
2003,145906719,Economic Commission for Latin America and the Caribbean,
2004,150957452,Economic Commission for Latin America and the Caribbean,
2005,159564285,Economic Commission for Latin America and the Caribbean,
2006,179017151,Economic Commission for Latin America and the Caribbean,
2007,193422046,Economic Commission for Latin America and the Caribbean,
2008,197497372,Economic Commission for Latin America and the Caribbean,
2009,187637426,Economic Commission for Latin America and the Caribbean,
2010,189549855,Economic Commission for Latin America and the Caribbean,
2011,195845056,Economic Commission for Latin America and the Caribbean,
2012,198798429,Economic Commission for Latin America and the Caribbean,
