year,value,source,note
1990,143895919,Economic Commission for Latin America and the Caribbean,
1991,145064721,Economic Commission for Latin America and the Caribbean,
1992,146815126,Economic Commission for Latin America and the Caribbean,
1993,149668989,Economic Commission for Latin America and the Caribbean,
1994,152554620,Economic Commission for Latin America and the Caribbean,
1995,152614291,Economic Commission for Latin America and the Caribbean,
1996,157960406,Economic Commission for Latin America and the Caribbean,
1997,155479522,Economic Commission for Latin America and the Caribbean,
1998,158255817,Economic Commission for Latin America and the Caribbean,
1999,155590671,Economic Commission for Latin America and the Caribbean,
2000,159948375,Economic Commission for Latin America and the Caribbean,
2001,161100741,Economic Commission for Latin America and the Caribbean,
2002,166401624,Economic Commission for Latin America and the Caribbean,
2003,170525627,Economic Commission for Latin America and the Caribbean,
2004,179538594,Economic Commission for Latin America and the Caribbean,
2005,187374682,Economic Commission for Latin America and the Caribbean,
2006,190601306,Economic Commission for Latin America and the Caribbean,
2007,209974832,Economic Commission for Latin America and the Caribbean,
2008,203706926,Economic Commission for Latin America and the Caribbean,
2009,209120118,Economic Commission for Latin America and the Caribbean,
2010,214248404,Economic Commission for Latin America and the Caribbean,
2011,223935167,Economic Commission for Latin America and the Caribbean,
2012,234076970,Economic Commission for Latin America and the Caribbean,
