year,value,source,note
1990,89598219,Economic Commission for Latin America and the Caribbean,
1991,91416154,Economic Commission for Latin America and the Caribbean,
1992,95863602,Economic Commission for Latin America and the Caribbean,
1993,98915136,Economic Commission for Latin America and the Caribbean,
1994,104323492,Economic Commission for Latin America and the Caribbean,
1995,107251666,Economic Commission for Latin America and the Caribbean,
1996,112010760,Economic Commission for Latin America and the Caribbean,
1997,152570186,Economic Commission for Latin America and the Caribbean,
1998,159796477,Economic Commission for Latin America and the Caribbean,
1999,168256367,Economic Commission for Latin America and the Caribbean,
2000,172580455,Economic Commission for Latin America and the Caribbean,
2001,173392549,Economic Commission for Latin America and the Caribbean,
2002,175026133,Economic Commission for Latin America and the Caribbean,
2003,178544837,Economic Commission for Latin America and the Caribbean,
2004,181554246,Economic Commission for Latin America and the Caribbean,
2005,188858364,Economic Commission for Latin America and the Caribbean,
2006,203832045,Economic Commission for Latin America and the Caribbean,
2007,212352870,Economic Commission for Latin America and the Caribbean,
2008,222131261,Economic Commission for Latin America and the Caribbean,
2009,223349128,Economic Commission for Latin America and the Caribbean,
2010,231558766,Economic Commission for Latin America and the Caribbean,
2011,234865045,Economic Commission for Latin America and the Caribbean,
2012,237322831,Economic Commission for Latin America and the Caribbean,
