key,value
name,"Saint Lucia - Annual Gross Domestic Product (GDP) by activity: Financial intermediation, real estate, renting and business activities [CEPALStat]"
dataset,CEPALStat national accounts [2216]
description,"Annual national account statistics for Saint Lucia: Financial intermediation, real estate, renting and business activities"
file,gdp-sec-firerba_lca_cepalstat.csv
filehash,cf07bdaa17e62f4842cdb4b7814b8971af497b80
category,Economy
type,GDP
columns,"year,value,source,notes"
