key,value
name,"Trinidad and Tobago - Agriculture, hunting, forestry and fishing [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Agriculture, hunting, forestry and fishing [2216]"
description,"Sectoral GDP: Agriculture, hunting, forestry and fishing"
category,Economic
type,GDP
file,gdp-sec--aghufofi_tto_cepalstat.csv
filehash,dd9752e5808d04866515b3b473aedc3dae6a6acc
columns,"year,value,source,notes"
