year,value,source,note
1990,129137071,Economic Commission for Latin America and the Caribbean,
1991,144745241,Economic Commission for Latin America and the Caribbean,
1992,179904698,Economic Commission for Latin America and the Caribbean,
1993,190583973,Economic Commission for Latin America and the Caribbean,
1994,216871417,Economic Commission for Latin America and the Caribbean,
1995,231986698,Economic Commission for Latin America and the Caribbean,
1996,248580647,Economic Commission for Latin America and the Caribbean,
1997,302305612,Economic Commission for Latin America and the Caribbean,
1998,286204552,Economic Commission for Latin America and the Caribbean,
1999,324321347,Economic Commission for Latin America and the Caribbean,
2000,291297745,Economic Commission for Latin America and the Caribbean,
2001,258109846,Economic Commission for Latin America and the Caribbean,
2002,320378230,Economic Commission for Latin America and the Caribbean,
2003,314792148,Economic Commission for Latin America and the Caribbean,
2004,324814237,Economic Commission for Latin America and the Caribbean,
2005,280289877,Economic Commission for Latin America and the Caribbean,
2006,298526792,Economic Commission for Latin America and the Caribbean,
2007,300200623,Economic Commission for Latin America and the Caribbean,
2008,291398745,Economic Commission for Latin America and the Caribbean,
2009,295107802,Economic Commission for Latin America and the Caribbean,
2010,302021865,Economic Commission for Latin America and the Caribbean,
2011,310034380,Economic Commission for Latin America and the Caribbean,
2012,321351759,Economic Commission for Latin America and the Caribbean,
