year,value,source,note
1990,24402004,Economic Commission for Latin America and the Caribbean,
1991,24439382,Economic Commission for Latin America and the Caribbean,
1992,26247582,Economic Commission for Latin America and the Caribbean,
1993,25543871,Economic Commission for Latin America and the Caribbean,
1994,23743161,Economic Commission for Latin America and the Caribbean,
1995,25010612,Economic Commission for Latin America and the Caribbean,
1996,27023204,Economic Commission for Latin America and the Caribbean,
1997,27902656,Economic Commission for Latin America and the Caribbean,
1998,29887289,Economic Commission for Latin America and the Caribbean,
1999,28221487,Economic Commission for Latin America and the Caribbean,
2000,26020754,Economic Commission for Latin America and the Caribbean,
2001,27314604,Economic Commission for Latin America and the Caribbean,
2002,30477347,Economic Commission for Latin America and the Caribbean,
2003,30083442,Economic Commission for Latin America and the Caribbean,
2004,33065047,Economic Commission for Latin America and the Caribbean,
2005,34215135,Economic Commission for Latin America and the Caribbean,
2006,37090357,Economic Commission for Latin America and the Caribbean,
2007,38776282,Economic Commission for Latin America and the Caribbean,
2008,42991095,Economic Commission for Latin America and the Caribbean,
2009,42429120,Economic Commission for Latin America and the Caribbean,
2010,46081958,Economic Commission for Latin America and the Caribbean,
2011,48048871,Economic Commission for Latin America and the Caribbean,
2012,50752871,Economic Commission for Latin America and the Caribbean,
