year,value,source,note
1990,13582335,Economic Commission for Latin America and the Caribbean,
1991,13616871,Economic Commission for Latin America and the Caribbean,
1992,16207036,Economic Commission for Latin America and the Caribbean,
1993,16882946,Economic Commission for Latin America and the Caribbean,
1994,17914079,Economic Commission for Latin America and the Caribbean,
1995,19561918,Economic Commission for Latin America and the Caribbean,
1996,19798733,Economic Commission for Latin America and the Caribbean,
1997,23671647,Economic Commission for Latin America and the Caribbean,
1998,28555959,Economic Commission for Latin America and the Caribbean,
1999,31654291,Economic Commission for Latin America and the Caribbean,
2000,30119926,Economic Commission for Latin America and the Caribbean,
2001,31370340,Economic Commission for Latin America and the Caribbean,
2002,30232445,Economic Commission for Latin America and the Caribbean,
2003,31522843,Economic Commission for Latin America and the Caribbean,
2004,33097173,Economic Commission for Latin America and the Caribbean,
2005,34295414,Economic Commission for Latin America and the Caribbean,
2006,35135402,Economic Commission for Latin America and the Caribbean,
2007,36749046,Economic Commission for Latin America and the Caribbean,
2008,37411728,Economic Commission for Latin America and the Caribbean,
2009,38912031,Economic Commission for Latin America and the Caribbean,
2010,39821621,Economic Commission for Latin America and the Caribbean,
2011,40281053,Economic Commission for Latin America and the Caribbean,
2012,40538044,Economic Commission for Latin America and the Caribbean,
