key,value
name,"Saint Vincent and The Grenadines - Electricity, gas and water supply [CEPALStat]"
originalsource,Economic Commission for Latin America and the Caribbean
proximatesource,CEPALStat
dataset,"Electricity, gas and water supply [2216]"
description,"Sectoral GDP: Electricity, gas and water supply"
category,Economic
type,GDP
file,gdp-sec--egws_vct_cepalstat.csv
filehash,df7fd666a80e26a71f34f3d9f18ee826d29571ac
columns,"year,value,source,notes"
