year,value,source,note
1990,8086708,Economic Commission for Latin America and the Caribbean,
1991,8592128,Economic Commission for Latin America and the Caribbean,
1992,9494662,Economic Commission for Latin America and the Caribbean,
1993,9191410,Economic Commission for Latin America and the Caribbean,
1994,9819574,Economic Commission for Latin America and the Caribbean,
1995,10426078,Economic Commission for Latin America and the Caribbean,
1996,11205867,Economic Commission for Latin America and the Caribbean,
1997,12043419,Economic Commission for Latin America and the Caribbean,
1998,13169782,Economic Commission for Latin America and the Caribbean,
1999,13848488,Economic Commission for Latin America and the Caribbean,
2000,14195061,Economic Commission for Latin America and the Caribbean,
2001,14877820,Economic Commission for Latin America and the Caribbean,
2002,14699498,Economic Commission for Latin America and the Caribbean,
2003,14733383,Economic Commission for Latin America and the Caribbean,
2004,14727374,Economic Commission for Latin America and the Caribbean,
2005,16042122,Economic Commission for Latin America and the Caribbean,
2006,16266058,Economic Commission for Latin America and the Caribbean,
2007,16567182,Economic Commission for Latin America and the Caribbean,
2008,16912380,Economic Commission for Latin America and the Caribbean,
2009,18068111,Economic Commission for Latin America and the Caribbean,
2010,19109907,Economic Commission for Latin America and the Caribbean,
2011,18954900,Economic Commission for Latin America and the Caribbean,
2012,19182569,Economic Commission for Latin America and the Caribbean,
