year,value,source,note
1990,15615313,Economic Commission for Latin America and the Caribbean,
1991,16217850,Economic Commission for Latin America and the Caribbean,
1992,17691279,Economic Commission for Latin America and the Caribbean,
1993,15929240,Economic Commission for Latin America and the Caribbean,
1994,17235579,Economic Commission for Latin America and the Caribbean,
1995,16167216,Economic Commission for Latin America and the Caribbean,
1996,18369765,Economic Commission for Latin America and the Caribbean,
1997,19503952,Economic Commission for Latin America and the Caribbean,
1998,19721675,Economic Commission for Latin America and the Caribbean,
1999,22182454,Economic Commission for Latin America and the Caribbean,
2000,24410320,Economic Commission for Latin America and the Caribbean,
2001,24499647,Economic Commission for Latin America and the Caribbean,
2002,25644623,Economic Commission for Latin America and the Caribbean,
2003,24762894,Economic Commission for Latin America and the Caribbean,
2004,26652839,Economic Commission for Latin America and the Caribbean,
2005,28593585,Economic Commission for Latin America and the Caribbean,
2006,29441555,Economic Commission for Latin America and the Caribbean,
2007,32498163,Economic Commission for Latin America and the Caribbean,
2008,34338921,Economic Commission for Latin America and the Caribbean,
2009,34828549,Economic Commission for Latin America and the Caribbean,
2010,35212187,Economic Commission for Latin America and the Caribbean,
2011,38037707,Economic Commission for Latin America and the Caribbean,
2012,37236890,Economic Commission for Latin America and the Caribbean,
